uniquewords,Repetitions
PT:PRO1SG,2617
G:WELL,2061
PT:PRO3SG,1491
PT:,1011
GOOD,800
PT:LOC,697
PT:PRO2SG,560
PT:DET,508
SAME,508
LOOK,405
WHAT,369
INDECIPHERABLE,264
NO,250
RIGHT,245
G:HEY,236
PT:POSS1SG,231
MOVE,229
TRUE,223
BAD,218
THINK,206
SIGN,203
G:ERM,202
BUT,199
NOW,193
GO,182
GO-TO,180
NOTHING,179
PT:PRO3PL,178
WORK,174
SAY,172
WHY,171
HAVE,169
WANT,169
ONE,167
KNOW,160
DEAF,158
PAST,157
BEEN,155
HUMAN,154
PT:POSS3SG,147
FROM-TO,145
OVER-TIME,138
PT:LBUOY,132
TIME,130
GO-IN,122
PT:PRO1PL,122
REMEMBER,118
MEANING,117
FEEL,113
TWO,113
FINISH,112
NEXT,112
SOME,112
YEAR,111
WITH,110
ALL,107
SPOUSE,105
CHILD,104
START,104
UNKNOWN,104
AREA,103
YES,103
DIFFERENT,102
CHANGE,96
SCHOOL,94
CAN,89
WILL,87
RANKING,83
DISAPPEAR,82
FATHER,82
BE,81
MOTHER,81
HOME,79
HOUSE,78
DRINK,77
MUST,77
PARTNER,77
EXPLAIN,76
HOW,76
KNOW-NOT,75
WHERE,74
FLOCK,73
EXCITED,72
G:DISMISS,72
TALK,72
MEET,71
ARRIVE,70
NEW,70
BIG,69
G:RIGHT,69
G:THAT-IS-ALL,69
TEACH,69
BEFORE,68
DISCUSS,68
HEARING,68
SLEEP,68
CONTINUE,67
HARD,67
WHEN,67
AGAIN,66
TYPICAL,65
HAPPEN,64
MANY,64
PARENTS,64
SINCE,64
UNIT,64
LBUOY,63
GIRL,62
PT:BODY,62
VEHICLE,61
CAN-NOT,59
MONEY,59
SURPRISE,59
WEEK,59
BEST,58
NOT,58
HAPPY,56
NAME,56
OLD,56
PEOPLE,56
THREE,56
AND,55
PERHAPS,55
SHOULD,55
GIVE-INFORMATION,54
PT:POSS2SG,54
WHO,54
ALRIGHT,53
THEATRE,52
NIGHT,51
REGULAR,51
WALK,51
AT-LAST,50
ENGLAND,50
PERSON,50
STAY,50
ABOUT-NUMBER,49
ADD,49
FLAT-SURFACE,49
GIVE,49
MAKE,49
HALF,48
HOLIDAY,47
LIVE,47
N:TWO,47
THROUGH,47
TOUCH,47
MAYBE,46
N:ONE,46
PERFECT,46
YOUNG,46
AT,45
FROM,45
GROW-UP,45
IF,45
LOVELY,45
NICE,45
NOT-YET,45
DRIVE,44
INTERVAL,44
BABY,43
DO,43
FIVE,43
LITTLE,43
NEVER,43
O,43
ONLY,43
PLAY,43
FOUR,42
