word,video_type,speaker_gender,listener_gender,file_name,folder_name

STUDENT2,c,w,m,M12c.eaf,M11+12c_mw
 G/WELL,n,w,m,G25n.eaf,G25+26n_wmw
 G:WELL,n,w,m,G25n.eaf,G25+26n_wmw
 LOOK02,n,w,w,G10n.eaf,G9+10n_ww
 NOTHING,n,m,m,G8n.eaf,G7+8n_mm
 SEVEN2^EIGHT2,c,w,w,M30c.eaf,M25+26c_ww
?,c,m,m,L3435c.eaf,L34+35c_mm
?,c,w,w,L3637c.eaf,L36+37c_ww
?ADD-TO-SIGNBANK(HOLD-BREATH/HOLD),c,w,w,L4c.eaf,L3+4c_ww
?ADD-TO-SIGNBANK(HOLD-BREATH/HOLD),c,w,w,L4c.eaf,L3+4c_ww
?ADD-TO-SIGNBANK(LOOK3),n,m,m,BF22n.eaf,BF21+22n_mm
?ADD-TO-SIGNBANK(LOOK3),n,m,m,BF22n.eaf,BF21+22n_mm
?ADD-TO-SIGNBANK(MAN6),n,w,m,G4n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(MAN6),n,w,m,G4n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(MAN6),n,w,m,G4n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(MAN6),n,w,m,G4n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(MAN6),n,w,m,G4n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(NO3),c,w,m,M2c.eaf,M1+2c_mw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(POLICE2),n,w,m,BF5n.eaf,BF5+6n_wmw
?ADD-TO-SIGNBANK(RIGHT3),n,m,w,G3n.eaf,G3+4n_mwm
?ADD-TO-SIGNBANK(UNKNOWN),c,w,w,M16c.eaf,M15+16c_ww
?AEROPLANE,c,m,m,L23c.eaf,L23+24c_mm
?AEROPLANE,c,m,m,L23c.eaf,L23+24c_mm
?AEROPLANE,c,m,m,L24c.eaf,L23+24c_mm
?AEROPLANE,c,m,m,L24c.eaf,L23+24c_mm
?AGE,c,w,w,M16c.eaf,M15+16c_ww
?AND,c,w,w,M29c.eaf,M25+26c_ww
?APPLAUD,n,m,w,BF12n.eaf,BF11+12n_wmw
?APPLAUD,n,m,w,BF12n.eaf,BF11+12n_wmw
?APPROACH,n,w,m,BF17n.eaf,BF17+18n_wmw
?APPROACH,n,w,m,BF17n.eaf,BF17+18n_wmw
?AREA,n,w,m,BF11n.eaf,BF11+12n_wmw
?AREA,n,w,m,BF11n.eaf,BF11+12n_wmw
?ARRIVE,n,m,w,BF12n.eaf,BF11+12n_wmw
?ARRIVE ,n,m,w,BF12n.eaf,BF11+12n_wmw
?ATTACK,c,w,w,M16c.eaf,M15+16c_ww
?AUSTRALIA,n,w,m,G4n.eaf,G3+4n_mwm
?BACK,n,m,w,BF6n.eaf,BF5+6n_wmw
?BACK,n,m,w,BF6n.eaf,BF5+6n_wmw
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN,n,m,m,G19n.eaf,G19+20n_mm
?BAN(FALSE-START),n,m,m,G19n.eaf,G19+20n_mm
?BAN(FALSE-START),n,m,m,G19n.eaf,G19+20n_mm
?BEEN,n,w,m,G14n.eaf,G13+14n_mwm
?BEFORE,n,m,w,G24n.eaf,G23+24n_wmw
?BEFORE,n,m,w,G24n.eaf,G23+24n_wmw
?BIG/ADD-TO-SIGNBANK(LONGER),n,m,w,G24n.eaf,G23+24n_wmw
?BIG/ADD-TO-SIGNBANK(LONGER),n,m,w,G24n.eaf,G23+24n_wmw
?BLUE,c,w,m,M2c.eaf,M1+2c_mw
?BLUE,c,w,m,M2c.eaf,M1+2c_mw
?BLUE,c,w,m,M2c.eaf,M1+2c_mw
?BLUE,c,w,m,M2c.eaf,M1+2c_mw
?BLUE,c,w,m,M2c.eaf,M1+2c_mw
?BORING04,n,w,m,G22n.eaf,G21+22n_mwm
?BORN02,n,w,w,G10n.eaf,G9+10n_ww
?BORN02,n,w,w,G10n.eaf,G9+10n_ww
?BREAK,n,w,m,G23n.eaf,G23+24n_wmw
?BREAK,n,w,m,G23n.eaf,G23+24n_wmw
?BRING-FORWARD/DELAY,c,w,w,M29c.eaf,M25+26c_ww
?BRING-FORWARD/DELAY,c,w,w,M29c.eaf,M25+26c_ww
?BROWN,n,m,w,BF6n.eaf,BF5+6n_wmw
?BROWN,n,m,w,BF6n.eaf,BF5+6n_wmw
?BUT,c,m,m,L10c.eaf,L9+10c_mm
?BUT,c,w,m,L3233c.eaf,L32+33c_mw
?BUT,c,w,w,L3c.eaf,L3+4c_ww
?BUT,c,w,w,L3c.eaf,L3+4c_ww
?CAN,c,w,w,M9c.eaf,M25+26c_ww
?CAN/SEE,c,m,m,L3435c.eaf,L34+35c_mm
?CENTRE,c,m,m,L25c.eaf,L25+26c_mm
?CHOOSE,c,w,w,L3637c.eaf,L36+37c_ww
?CHOOSE,c,w,w,L3637c.eaf,L36+37c_ww
?CHOOSE,c,w,w,L3637c.eaf,L36+37c_ww
?CHRISTMAS02,n,m,w,BF12n.eaf,BF11+12n_wmw
?CHRISTMAS02,n,m,w,BF12n.eaf,BF11+12n_wmw
?COLOUR,c,m,m,L8c.eaf,L7+8c_mm
?COLOUR,c,m,m,L8c.eaf,L7+8c_mm
?COMPANY/SEARCH,c,w,w,L3637c.eaf,L36+37c_ww
?COMPUTER,c,m,w,M1c.eaf,M1+2c_mw
?DEAF,n,m,m,G19n.eaf,G19+20n_mm
?DIFFERENT(FALSE-START),c,w,m,L29c.eaf,L28+29c_mw
?DIFFERENT(FALSE-START),c,w,m,L29c.eaf,L28+29c_mw
?DISAPPEAR,c,w,w,M29c.eaf,M25+26c_ww
?DISAPPEAR,c,w,w,M29c.eaf,M25+26c_ww
?DOG(FALSE-START),c,w,m,L18c.eaf,L17+18c_mw
?DOG(FALSE-START),c,w,m,L18c.eaf,L17+18c_mw
?DROP,n,m,w,G13n.eaf,G13+14n_mwm
?DROP,n,m,w,G13n.eaf,G13+14n_mwm
?DSEP(1-HORI)-MOVE:ANIMAL,n,w,m,BF7n.eaf,BF7+8n_wmw
?DSEP(1-VERT)-MOVE:ANIMAL,n,w,m,BF7n.eaf,BF7+8n_wmw
?DSEP(1-VERT)-MOVE:ANIMAL,n,w,m,BF7n.eaf,BF7+8n_wmw
?DSEP(1-VERT)-MOVE:ANIMAL,n,w,m,BF7n.eaf,BF7+8n_wmw
?DSEW(1-HORI)-BE:VEHICLE,n,m,w,BF3n.eaf,BF3+4n_mwm
?DSEW(1-HORI)-BE:VEHICLE,n,m,w,BF3n.eaf,BF3+4n_mwm
?DSEW(1-HORI)-BE:VEHICLE,n,m,w,BF3n.eaf,BF3+4n_mwm
?DSEW(5)-MOVE,c,m,m,L19c.eaf,L19+20c_mm
?DSEW(5)-MOVE,c,m,m,L19c.eaf,L19+20c_mm
?DSEW(FLAT)-MOVE,c,w,w,L22c.eaf,L21+22c_ww
?DSH(5)-BE,n,w,m,BF11n.eaf,BF11+12n_wmw
?DSS(FLAT),c,m,m,L19c.eaf,L19+20c_mm
?DSS(FLAT),c,w,w,L21c.eaf,L21+22c_ww
?DSS(FLAT),c,w,w,L21c.eaf,L21+22c_ww
?DSS(SPHERE/CYL),n,m,m,G1n.eaf,G1+2n_mm
?DSS(SPHERE/CYL),n,m,m,G1n.eaf,G1+2n_mm
?DSS(SPHERE/CYL),n,m,m,G1n.eaf,G1+2n_mm
?EMIT,c,w,m,M2c.eaf,M1+2c_mw
?ENCOURAGE,c,w,m,BL16c.eaf,BL15+16c_mw
?ENGLAND,n,w,m,G22n.eaf,G21+22n_mwm
?ENGLAND,n,w,m,G22n.eaf,G21+22n_mwm
?EVALUATE/PLAY,c,m,m,BL5c.eaf,BL5+6c_mm
?EVERYTHING/G:ERM,c,w,w,L3637c.eaf,L36+37c_ww
?EXPAND,n,m,w,BF10n.eaf,BF9+10n_wmw
?EXPAND,n,m,w,BF10n.eaf,BF9+10n_wmw
?EXPAND,n,m,w,BF10n.eaf,BF9+10n_wmw
?EXPAND,n,m,w,BF10n.eaf,BF9+10n_wmw
?EXPECT,c,w,w,M16c.eaf,M15+16c_ww
?EXPLOSION,n,m,w,G11n.eaf,G11+12n_mwm
?EXPLOSION,n,m,w,G11n.eaf,G11+12n_mwm
?FEEL,c,w,m,L18c.eaf,L17+18c_mw
?FEW,c,w,m,M2c.eaf,M1+2c_mw
?FEW2,c,w,w,M30c.eaf,M25+26c_ww
?FLOW,n,w,m,BF4n.eaf,BF3+4n_mwm
?FOREIGN/REMOVE2,c,w,w,M9c.eaf,M25+26c_ww
?FOREIGN/REMOVE2,c,w,w,M9c.eaf,M25+26c_ww
?FRIEND/ADD-TO-SIGNBANK(THEN),n,m,w,BF10n.eaf,BF9+10n_wmw
?FRIEND/ADD-TO-SIGNBANK(THEN),n,m,w,BF10n.eaf,BF9+10n_wmw
?FROM-THEN-ON,n,w,m,BF7n.eaf,BF7+8n_wmw
?FROM/ADD-TO-SIGNBANK(FOOTBALL),c,w,w,M9c.eaf,M25+26c_ww
?FROM/ADD-TO-SIGNBANK(FOOTBALL),c,w,w,M9c.eaf,M25+26c_ww
?FS:,n,w,m,BF24n.eaf,BF23+24n_mwm
?FS:,n,w,m,BF24n.eaf,BF23+24n_mwm
?FS:BUT(B),c,w,w,M29c.eaf,M25+26c_ww
?FS:DUKE(DUK),n,w,w,BF20n.eaf,BF19+20n_ww
?FS:DUKE(DUK),n,w,w,BF20n.eaf,BF19+20n_ww
?FS:LADY(LD),n,w,m,G22n.eaf,G21+22n_mwm
?FS:LADY(LD),n,w,m,G22n.eaf,G21+22n_mwm
?FS:NOT(NN),n,w,m,G12n.eaf,G11+12n_mwm
?FS:NOT(NN),n,w,m,G12n.eaf,G11+12n_mwm
?FS:TO/WITH,c,w,w,L3637c.eaf,L36+37c_ww
?FS:UP,n,w,w,G16n.eaf,G15+16n_ww
?FS:UP,n,w,w,G16n.eaf,G15+16n_ww
?G:CA:HOLD-OBJECT,c,w,w,M29c.eaf,M25+26c_ww
?G:CA:HOLD-OBJECT,c,w,w,M29c.eaf,M25+26c_ww
?G:CA:INJECT,c,w,w,L21c.eaf,L21+22c_ww
?G:CA:PULL-BACK-FACE,c,w,w,L21c.eaf,L21+22c_ww
?G:CA:ROTATE-COUNTRY/DSEW(CYL)-MOVE,c,m,m,L3435c.eaf,L34+35c_mm
?G:CA:ROTATE-COUNTRY/DSEW(CYL)-MOVE,c,m,m,L3435c.eaf,L34+35c_mm
?G:CA:STRETCH-FACE,c,w,w,L22c.eaf,L21+22c_ww
?G:CA:STRETCH-FACE,c,w,w,L22c.eaf,L21+22c_ww
?G:CA:WAKE,n,m,w,BF6n.eaf,BF5+6n_wmw
?G:ERM02,n,w,m,G23n.eaf,G23+24n_wmw
?G:ERM02,n,w,m,G23n.eaf,G23+24n_wmw
?G:HEY(FALSE-START),c,w,m,L29c.eaf,L28+29c_mw
?G:SHOO,n,w,w,BF20n.eaf,BF19+20n_ww
?G:WELL,c,w,m,L3233c.eaf,L32+33c_mw
?G:WELL,c,w,w,L3c.eaf,L3+4c_ww
?G:WELL,c,w,w,L3c.eaf,L3+4c_ww
?G:WELL,c,w,w,M29c.eaf,M25+26c_ww
?G:WELL,c,w,w,M29c.eaf,M25+26c_ww
?G:WELL,c,w,w,M9c.eaf,M25+26c_ww
?G:WELL,n,m,w,BF6n.eaf,BF5+6n_wmw
?G:WELL,n,m,w,BF6n.eaf,BF5+6n_wmw
