time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
26,GOOD,1,1,0.980039,1.75042,0,0,0,0,0,0.607556,0,0,0,0,0,0,0,1,0,0,1,0,1
27,,1,1,0.967913,1.89601,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,,1,1,0.943224,2.22219,0,0,0,0,0,0,0,0,0.677877,0,0,0,0,1,0,0,0,0,1
29,,1,1,0.915663,2.4884,0,0,0,0,0,0,0,0,0.966969,0,0,0,0.550918,1,0,0,0,0,0
30,,1,1,0.919785,2.40885,0,0,0,0,0,0,0,0,1.07475,0,0,0,0.633747,1,0,0,0,0,1
31,,1,1,0.950591,2.22504,0,0,0,0,0,0,0,0,1.04103,0,0,0,0.725399,1,0,0,1,0,1
32,,1,1,0.975881,2.49289,0,0,0,0,0,0,0,0,0.853575,0,0,0,0.75649,1,0,0,1,0,1
33,,1,1,0.975277,2.25677,0,0,0,0,0,0,0,0,0.523721,0,0,0,0.750214,1,0,0,1,0,1
34,,1,1,0.980684,1.99144,0,0,0.614536,0,0,0,0,0,0,0,0.677906,0,0.738313,1,0,0,1,0,1
35,,1,1,0.979955,1.98135,0,0,0.602535,0,0,0,0,0,0,0,0.909727,0.832387,0.688446,0,1,0,1,0,1
36,,1,1,0.973869,1.55119,0,0,0,0,0,0,0,0,0,0,0.777244,0.559757,0.695701,0,1,0,1,0,0
37,,1,1,0.971902,1.39104,0,0,0,0,0,0,0,0,0,0,0.962584,0.782341,0.616653,0,1,0,1,0,0
38,,1,1,0.974752,1.19664,0,0,0,0,0,0,0,0,0,0,0.72475,0.554134,0.585569,0,1,0,0,0,0
39,,1,1,0.980054,1.11581,0,0,0.604743,0,0,0,0,0,0,0,1.02138,0.514128,0.621276,0,1,0,0,0,0
40,,1,1,0.981111,1.22589,0,0,0.59062,0,0,0,0,0,0,0,0.634715,0.912771,0.514318,0,0,0,1,0,0
41,,1,1,0.97964,1.20705,0,0,0.690551,0,0,0,0,0,0,0,0,1.24565,0.532823,0,1,0,1,0,0
42,,1,1,0.978699,1.01836,0,0,0.644431,0,0,0,0,0,0,0,0,1.48921,0.523272,0,1,0,1,0,0
43,,1,1,0.97661,0.918851,0,0,0.582358,0,0,0,0,0,0,0,0.604148,1.29534,0.523806,0,1,0,1,0,0
44,,1,1,0.972682,0.722137,0,0,0.539632,0,0,0,0,0,0,0,0.68444,1.54551,0.547388,0,1,0,1,0,0
45,,1,1,0.974288,0.651291,0,0,0,0,0,0,0,0,0,0,0.726418,1.32038,0.565033,0,1,0,1,0,0
46,,1,1,0.971683,0.740214,0,0.740572,0.55517,0,0,0,0,0,0,0,0.565563,1.82188,0.554289,0,0,0,1,0,1
47,,1,1,0.975716,0.500758,0,0,0,0,0,0,0,0,0,0,0.770744,1.45972,0.549522,0,0,0,1,0,1
48,,1,1,0.976802,0.868069,0,0.553939,0,0,0,0,0,0,0,0,0.995079,1.35774,0.53161,0,1,0,1,0,0
49,,1,1,0.975254,0.709955,0,0,0,0,0,0,0,0,0,0,0.844863,1.44692,0.551432,0,1,0,1,0,0
50,,1,1,0.973744,0.744591,0,0,0,0,0,0,0,0,0,0,1.03375,0.960699,0.535204,0,1,0,1,0,0
51,,1,1,0.971393,0.774508,0,0,0,0,0,0,0,0,0,0,1.2093,0.748379,0,0,1,0,1,0,0
52,,1,1,0.966739,0.764976,0,0,0,0,0,0,0,0,0,0,1.48167,0.690281,0.579875,0,0,0,1,0,0
53,HERD,1,1,0.967143,0.962868,0,0,0,0,0,0,0,0,0,0,1.22134,0.573727,0.589125,0,0,0,1,0,0
54,HERD,1,1,0.966671,0.777342,0,0,0,0,0,0,0,0,0,0,1.13862,0.612432,0.624663,0,0,0,1,0,0
55,HERD,1,1,0.968456,0.905122,0,0,0,0,0,0,0,0,0,0,1.24869,0,0.615761,0,1,0,1,0,0
56,HERD,1,1,0.966331,0.976283,0,0,0,0,0,0,0,0,0,0,1.34055,0,0.606407,0,1,0,1,0,0
57,HERD,1,1,0.966467,0.819076,0,0,0,0,0,0,0,0,0,0,0.948833,0,0.562776,0,1,0,1,0,0
58,HERD,1,1,0.96342,0.946433,0,0,0,0,0,0,0,0,0,0,1.07399,0,0.543925,0,1,0,1,0,0
59,HERD,1,1,0.96446,0.831513,0,0,0,0,0,0,0,0,0,0,1.21668,0,0.511393,0,1,0,1,0,0
60,HERD,1,1,0.96633,0.800735,0,0,0,0,0,0,0,0,0,0,0.936193,0.551724,0,0,1,0,1,0,0
61,HERD,1,1,0.964601,0.642388,0,0,0,0,0,0,0,0,0,0,0.940137,0,0,0,1,0,1,0,0
62,HERD,1,1,0.961796,0.746662,0,0,0,0,0,0,0,0,0,0,0.661115,0,0,0,1,0,1,0,0
63,HERD,1,1,0.959325,0.674012,0,0,0,0,0,0,0,0,0,0,0.619205,0,0,0,1,0,1,0,0
64,HERD,1,1,0.961435,0.580702,0,0,0,0,0,0,0,0,0,0,0.745753,0,0,0,1,0,1,0,0
65,HERD,1,1,0.960312,0.72799,0,0,0,0,0,0,0,0,0,0,0.66929,0,0,0,1,0,1,0,0
66,HERD,1,1,0.959197,0.500705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
67,HERD,1,1,0.954986,0.521277,0,0,0,0,0,0,0.519197,0,0,0,0,0,0,0,1,0,1,0,0
68,HERD,1,1,0.954559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
69,HERD,1,1,0.954319,0,0,0,0,0,0,0,0,0,0,0,0.514446,0,0,0,1,0,1,0,0
70,HERD,1,1,0.96122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71,HERD,1,1,0.964447,0.560582,0,0,0,0,0,0,0.554231,0,0,0,0,0,0,0,1,0,1,0,0
72,HERD,1,1,0.967089,0,0,0,0,0,0,0,0.514488,0,0,0,0.523668,0,0,0,1,0,1,0,0
73,HERD,1,1,0.966863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,HERD,1,1,0.966646,0,0,0,0,0,0,0,0,0,0,0,0.603065,0,0,0,1,0,1,0,0
75,HERD,1,1,0.955003,0.667259,0,0,0,0,0,0,0,0,0,0,0.516431,0,0,0,1,0,1,0,1
76,HERD,1,1,0.944989,0.603207,0,0,0,0,0,0,0,0,0,0,0.841756,0,0,0,1,0,1,0,1
77,HERD,1,1,0.965588,0.621942,0,0,0,0,0,0,0,0,0,0,0.957836,0,0.515677,0,1,0,1,0,1
78,HERD,1,1,0.956807,0.567928,0,0,0,0,0,0,0.544197,0,0,0,0.637689,0,0.74965,0,1,0,1,0,1
79,HERD,1,1,0.951217,0,0,0,0,0,0,0,0.740484,0,0,0,0.67243,0,0.790133,0,1,0,1,0,1
80,HERD,1,1,0.940046,0,0,0,0,0,0,0,0.634266,0,0,0,0.615245,0,0.843401,0,1,0,1,0,1
81,HERD,1,1,0.935882,0,0,0,0,0,0,0,0.691213,0,0,0,0,0.562894,0.784577,0,1,0,1,0,1
82,HERD,1,1,0.928414,0,0,0,0,0,0,0,0.76798,0,0,0,0,0.670678,0.805277,0,1,0,1,0,1
83,HERD,1,1,0.927542,0,0,0,0,0,0,0,0.753452,0,0,0,0,0.502162,0.769988,0,1,0,1,0,1
84,HERD,1,1,0.922611,0,0,0,0,0,0,0,0.809712,0,0,0,0,0,0.805711,0,1,0,1,0,1
85,HERD,1,1,0.918442,0,0,0,0,0,0,0,0.67219,0,0,0,0,0,0.813091,0,1,0,1,0,1
86,HERD,1,1,0.910285,0,0,0,0,0,0,0,0.75917,0,0,0,0,0,0.80239,0,1,0,1,0,1
87,HERD,1,1,0.887115,0,0,0,0,0,0,0,0.875981,0,0,0,0,0,0.852533,0,1,0,1,0,1
88,HERD,1,1,0.858549,0,0,0,0,0,0,0,0.915186,0,0,0,0,0.548171,0.868132,1,1,0,1,0,1
89,HERD,1,1,0.876836,0,0,0,0,0,0,0,1.09615,0,0,0,0,0.539095,0.831529,0,1,0,1,0,1
90,HERD,1,1,0.899241,0,0,0,0,0,0,0,1.04524,0,0,0,0,0.656713,0.69548,0,1,0,1,0,1
91,HERD,1,1,0.924249,0,0,0,0,0,0,0,0.999167,0,0,0,0,1.02368,0.658531,0,1,0,1,0,1
92,HERD,1,1,0.927919,0,0,0,0,0,0,0,0.922718,0,0,0,0,0.849964,0,0,1,0,1,0,0
93,HERD,1,1,0.931886,0,0,0,0,0.511424,0,0.536908,0.979388,0,0.576331,0,0,1.11709,0,0,1,0,1,0,0
94,HERD,1,1,0.943605,0,0,0,0,0.524226,0,0.544063,0.957131,0,0,0,0,0.593745,0,0,1,0,1,0,1
95,HERD,1,1,0.941713,0,0,0,0,0,0,0.504038,1.06851,0,0.503956,0,0,0.713241,0,0,1,0,1,0,0
96,HERD,1,1,0.953033,0,0,0,0,0,0,0,0.978483,0,0,0,0,0.622839,0,0,1,0,1,0,0
97,HERD,1,1,0.955011,0,0,0,0,0,0,0.527047,1.05322,0,0,0,0,0,0,0,1,0,1,0,0
98,HERD,1,1,0.95807,0,0,0,0,0,0,0,0.996144,0,0,0,0,0,0,0,1,0,1,0,0
99,HERD,1,1,0.957727,0,0,0,0,0,0,0,0.899886,0,0,0,0,0,0,0,1,0,1,0,0
100,HERD,1,1,0.956027,0,0,0,0,0,0,0,0.836166,0,0,0,0,0,0,0,1,0,1,0,0
101,HERD,1,1,0.956352,0,0,0,0,0,0,0,0.868474,0,0,0,0,0,0,0,1,0,1,0,0
102,HERD,1,1,0.955477,0,0,0,0,0,0,0,0.763963,0,0,0,0,0,0,0,1,0,1,0,0
103,HERD,1,1,0.954281,0,0,0,0,0,0,0,0.872465,0,0,0,0,0,0,0,1,0,1,0,0
104,HERD,1,1,0.95305,0,0,0,0,0,0,0,0.881808,0,0,0,0,0,0,0,1,0,1,0,0
105,HERD,1,1,0.950036,0,0,0,0,0,0,0,0.796145,0,0,0,0,0,0,0,1,0,1,0,0
106,HERD,1,1,0.950415,0,0,0,0,0,0,0,0.836459,0,0,0,0,0,0,0,1,0,1,0,0
107,HERD,1,1,0.950315,0,0,0,0,0,0,0,0.875034,0,0,0,0,0,0,0,1,0,1,0,0
108,HERD,1,1,0.957601,0,0,0,0,0,0,0,0.786812,0,0,0,0,0,0,0,1,0,1,0,0
109,HERD,1,1,0.955379,0,0,0,0,0,0,0,0.856319,0,0,0,0,0,0,0,1,0,1,0,1
110,HERD,1,1,0.955823,0,0,0,0,0,0,0,0.750575,0,0,0,0,0,0,1,1,0,1,0,1
111,HERD,1,1,0.960329,0.639788,0,0,0,0,0,0.658688,0.676876,0,0,0,0,0,0,1,1,0,1,0,1
112,HERD,1,1,0.956842,0.899277,0,0,0,0,0,0.803726,0.702545,0,0,0,0,0,0,1,1,0,1,0,0
113,HERD,1,1,0.936149,0.978139,0,0,0,0,0,1.00952,0.566088,0.526581,0,0,0,0,0,1,1,0,1,0,0
114,HERD,1,1,0.922092,0.97664,0,0,0,0,0,0.948951,0.610842,0,0,0,0,0,0,1,1,0,1,0,0
115,HERD,1,1,0.939449,1.37939,0,0,0,0,0,0.950444,0.820524,0,0,0,0.63574,0,0,0,1,0,1,0,0
152,,1,1,0.939972,1.28055,0.590181,0,0,0,0,0,0,0,0,0,0.943717,0,0,0,0,0,1,0,1
153,,1,1,0.945487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
154,,1,1,0.853168,1.16575,0,0,0,0,0,0,0,0,0,0,0.659373,0,0,1,0,0,0,0,1
155,,1,1,0.971158,0,0,0,0,0,0,0,0,0,0,0,1.00928,0,0.651972,1,0,0,1,0,1
156,,1,1,0.958501,0.654327,0,0,0,0,0,0,0,0,0,0,0.739012,0,0.720405,1,0,0,1,0,1
157,GOOD,1,1,0.967109,0,0,0,0,0,0,0,0,0,0,0,1.0451,0,0.827617,1,0,0,1,0,1
158,GOOD,1,1,0.973591,0,0,0,0,0,0,0,0,0,0,0,0.848893,0,0.827071,1,0,1,1,0,1
159,GOOD,1,1,0.973891,0,0,0,0,0,0,0,0,0,0,0,1.00487,0,0.826866,1,0,0,1,0,1
186,,1,1,0.930073,0,0,0,0,0,0,0,0,0,0,0,1.15765,0,0.804069,0,0,1,1,0,1
187,,1,1,0.854509,0,0.512531,0,0,0,0,0,0,0,0,0.606137,0,2.1017,0.669708,0,0,0,0,0,1
188,,1,1,0.974812,0,0,0,0,0,0,0,0,0,0.514073,0,0.811263,0,0,0,0,1,1,0,1
189,,1,1,0.944494,0.731592,0,0,0,0,0,0,0,0,0,0.690191,0,0.578503,0,1,0,0,0,0,0
190,,1,1,0.821026,1.40993,0,0,0.53175,0,0,0.591608,0,0,0,0.835468,0,0,0,1,1,0,0,0,0
191,,1,1,0.883681,1.91741,0,0,0.616697,0,0,0.680086,0.528866,0,0,1.02019,0,0,0,1,0,0,0,0,0
192,,1,1,0.959386,1.88255,0,0,0,0,0,0.587556,0,0,0,0.902593,0,0,0,1,0,0,0,0,0
210,YES,1,1,0.953724,1.86721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
211,YES,1,1,0.940996,1.21839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
212,YES,1,1,0.870294,1.8363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,YES,1,1,0.926993,1.47755,1.95261,0,0,0,0,0.517725,0.828769,0,0,0,0,0.874065,1.02248,0,1,1,1,0,1
214,YES,1,1,0.873632,1.42093,0.653629,0,0.787517,0,0,0,0,0,0.725779,0,0,1.55032,0.813,0,0,1,0,0,0
215,YES,1,1,0.73797,2.15353,0.555133,0,1.06617,0,0,0,0,0,0,0,0,0.918961,0.500777,0,0,0,0,0,0
223,YES,1,1,0.967772,1.22743,0,0,0,0,0,0,0.567766,0,0,0,1.09955,1.19715,0.743154,0,0,0,1,0,0
224,YES,1,1,0.967165,1.23288,0,0,0,0,0,0,0.6758,0.670834,0,0,1.20699,1.31762,0.674856,0,0,0,1,0,0
225,YES,1,1,0.963122,1.1872,0,0,0,0,0,0,0.721347,0.52465,0,0,1.05045,1.53869,0.692237,0,0,0,1,0,0
226,YES,1,1,0.969872,0.940957,0,0,0,0,0,0,0.759657,0.782649,0,0,0.914022,1.25239,0.755134,0,0,0,1,0,0
265,PT:PRO,1,1,0.962885,0,0,0,0,0,0,0,0,0,0,0,1.024,0,0,0,0,0,0,0,1
266,PT:PRO,1,1,0.952699,0,0,0,0,0,0,0,0,0,0,0,0.808057,0,0,0,0,0,1,0,1
267,PT:PRO,1,1,0.824592,0.908805,0,0.87756,0,0,0,0.723731,0,0,0,0.625911,0,1.56043,0,1,1,0,0,0,0
268,PT:PRO,1,1,0.992472,1.78835,0.931301,0,0,0,0,0,0.576929,0,0,0,0,0,0,0,0,1,1,0,0
269,PT:PRO,1,1,0.975217,1.778,0,0,0,0,0,0.607666,0.690916,0,0,0,0,0,0,0,0,0,1,0,0
270,PT:PRO,1,1,0.963976,1.8129,0,0,0.613345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,PT:PRO,1,1,0.957735,0,0,0,0,0,0,0,0,0,0.506537,0,1.80183,0,0,0,0,1,1,0,1
279,PT:PRO,1,1,0.948701,0,0,0,0,0,0,0,0,0,0,0,1.11967,0.576083,0,0,0,0,1,0,1
280,PT:PRO,1,1,0.97062,0,0,0,0,0,0,0,0,0,0,0,1.15268,0,0.633024,0,0,0,1,0,1
282,PT:PRO,1,1,0.965383,0.950063,0,0,0,0,0,0,0,0,0,0,1.11127,0,0.893679,0,0,1,1,0,1
3091,MEET,1,1,0.970513,0,0.679141,0,0,0.55683,0,0.814686,1.07751,1.07616,0,0.563023,0.50492,2.14374,0,0,1,1,1,0,0
3092,MEET,1,1,0.968003,0,0.718683,0.503338,0,0.539636,0,0.813197,1.04457,1.02632,0,0.557466,0,2.01789,0,0,1,1,1,0,0
3093,MEET,1,1,0.966652,0,0.768542,0,0,0.531759,0,0.815572,1.05733,1.03916,0,0.565289,0,1.99628,0,0,1,0,1,0,0
3112,MEET,1,1,0.971753,0,0.57987,0,0,0.642844,0,0.953395,1.17842,1.1722,0,0,0,1.52791,0,0,1,1,1,0,0
3118,MEET,1,1,0.97257,0,0.595105,0,0,0.635626,0,0.935337,1.0564,1.32643,0,0,0,1.21955,0,0,1,1,1,0,1
3119,MEET,1,1,0.970255,0,0.64302,0,0,0.651772,0,0.969075,1.11648,1.30653,0,0.519533,0,1.43775,0,0,1,1,1,0,1
3120,MEET,1,1,0.97089,0,0,0,0,0.664515,0,0.957447,1.07879,1.38607,0,0,0,1.48938,0,0,1,1,1,0,1
3121,MEET,1,1,0.971921,0,0,0,0,0.727381,0,1.01318,0.997038,1.61731,0,0.558399,0,0.921179,0,0,1,1,1,0,1
3122,MEET,1,1,0.971815,0,0,0,0,0.629513,0,0.88137,1.0094,1.30885,0,0,0,1.00684,0,0,1,1,1,0,1
3123,MEET,1,1,0.969203,0,0,0,0,0.714192,0,0.964305,1.0957,1.29502,0,0.540177,0.561288,0.666452,0,0,1,1,1,0,1
3124,MEET,1,1,0.971243,0,0,0,0,0.687546,0,0.904902,0.969306,1.35956,0,0.565692,0,0.771956,0,0,1,1,1,0,1
3125,MEET,1,1,0.971349,0,0,0,0,0.742018,0,1.03395,1.16274,1.44416,0,0,0,1.19381,0,0,1,1,1,0,1
3126,MEET,1,1,0.968827,0,0,0,0,0.804612,0,1.10149,1.34971,1.36816,0,0.56768,0,1.02808,0,0,1,1,1,0,1
3127,MEET,1,1,0.968158,0,0,0,0,0.791259,0,1.06364,1.28319,1.37481,0,0.607041,0,0.743314,0,0,1,1,1,0,1
3128,MEET,1,1,0.966673,0,0,0.623141,0,0.74288,0,1.02466,1.19806,1.42405,0,0.555862,0,0.639282,0,0,1,1,1,0,1
3129,MEET,1,1,0.966587,0,0,0,0,0.66484,0,0.942423,1.13812,1.46088,0,0.507032,0,0.656266,0,0,1,1,1,0,1
3130,MEET,1,1,0.969832,0,0,0,0,0.670863,0,0.926964,1.07434,1.52309,0,0,0,0.542123,0,0,1,1,1,0,1
3131,MEET,1,1,0.971329,0,0,0,0,0.715082,0,0.972989,1.07585,1.53459,0,0,0,0,0,0,1,1,1,0,1
3132,MEET,1,1,0.969285,0,0,0,0,0.688648,0,0.97703,0.983046,1.3106,0,0,0,0.684659,0,0,1,1,1,0,1
3133,MEET,1,1,0.969064,0,0,0,0,0.732175,0,1.02471,1.1551,1.53429,0,0,0,0.530944,0,0,1,1,1,0,1
3134,MEET,1,1,0.970767,0,0,0,0,0.72644,0,1.00183,1.12821,1.53083,0,0.516178,0,0.60717,0,0,1,1,1,0,1
3135,MEET,1,1,0.967536,0,0,0,0,0.700398,0,0.953699,1.18786,1.35707,0,0,0,0,0,0,1,1,1,0,1
3136,MEET,1,1,0.970132,0,0,0,0,0.724392,0,0.921567,1.17652,1.48603,0,0,0,0.825417,0,0,1,1,1,0,1
3137,MEET,1,1,0.971843,0,0,0,0,0.724182,0,0.932682,1.25695,1.23391,0,0,0,0.53007,0,0,1,1,1,0,1
