time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
3,HEAR,1,1,0.95542,1.2686,0.901021,0,0,0,1.2048,0,0,0,1.06804,0.525607,0,0,0,0,1,0,1,0,0
4,HEAR,1,1,0.89722,1.351,0.511985,0,0.905079,0,1.54835,0,0,0,1.35234,0,0,1.97415,0,0,1,0,1,0,0
5,HEAR,1,1,0.932231,1.1848,0.708929,0,0.943185,0,1.58599,0,0,0,1.29587,0,0,2.28286,0.558738,0,1,0,1,0,0
6,HEAR,1,1,0.949686,0.952355,0.909704,0.830854,0.592198,0,2.00917,0,0,0,1.20968,0,0,3.61946,0.705459,0,1,0,0,0,0
7,HEAR,1,1,0.939988,0.791204,0.844701,0.775541,0.674243,0,2.2219,0,0,0,1.02176,0,0,3.05592,0.698938,0,1,0,0,0,0
8,HEAR,1,1,0.943695,0.705854,0.708408,1.18711,0.883815,0,2.37402,0,0,0,0.705894,0,0,3.4047,0.733456,1,1,0,0,0,0
9,HEAR,1,1,0.942043,0.774176,0.741843,0.970343,0.533928,0,1.65564,0,0,0,0,0,0,3.32516,0.522196,0,1,0,0,0,0
10,HEAR,1,1,0.95932,0.885156,0.671726,1.20592,0.880127,0,1.61094,0,0,0,0,0,0,3.17235,0.548791,1,1,0,0,0,0
11,HEAR,1,1,0.959385,0.767343,0.749301,1.51685,0.817871,0,1.35356,0,0,0,0.796604,0,0,3.33738,0.554588,1,1,0,0,0,0
12,HEAR,1,1,0.957904,0.532292,0.927246,1.40038,0.712488,0,1.80349,0,0.655166,0,0.601242,0,0,3.53839,0.616677,1,1,0,0,0,0
13,HEAR,1,1,0.957543,0.563979,1.01117,1.36697,0.719342,0,1.61747,0,0.564963,0,0.806579,0,0,3.58395,0.50591,1,1,0,0,0,0
14,HEAR,1,1,0.957488,0.55313,1.01401,1.61808,0.897008,0,1.4152,0,0.665657,0,0.778042,0,0,3.14615,0,1,1,0,0,0,0
15,HEAR,1,1,0.95879,0.566582,1.02461,1.34316,0.729162,0,1.64141,0,0.590678,0,0.565095,0,0,3.15262,0.549023,0,1,0,0,0,0
16,HEAR,1,1,0.961194,0,0.94536,1.23603,0.852641,0,1.05961,0,0.54129,0,0.798227,0,0,2.79305,0,0,1,0,0,0,0
17,HEAR,1,1,0.948336,0.5985,1.21969,1.28147,0.711121,0,0.946177,0,0.847212,0,0.751488,0,0,3.19278,0,0,1,0,0,0,0
38,HEAR,1,1,0.968946,0,0,1.0861,0,0,1.23004,0,0,0,0,0,0,1.36569,0,0,1,0,1,0,1
39,HEAR,1,1,0.880968,0,0.830088,1.73504,0,0,0.788603,0,0,1.40605,0,0.629334,0,1.70046,0,0,1,0,0,1,1
40,HEAR,1,1,0.97076,0.695141,1.52662,0,0.670103,0,0,0,0,0,1.05232,0,0.749866,0,0,0,1,1,1,0,1
41,HEAR,1,1,0.905192,0,0.777073,0,0,0,0,0,0,1.06504,1.1271,0.871927,0.557054,0,0,0,1,1,1,0,1
42,HEAR,1,1,0.742177,0,0.759201,0,0.578581,0,0,0,0.711641,1.30555,0,0.974262,0,0,0,0,1,1,1,0,0
43,HEAR,1,1,0.891764,0,0.707784,0,0,0,0,0.596811,0,0.707657,1.03061,1.05171,0,0,0,0,1,1,1,0,0
61,,1,1,0.955899,0,1.09884,0,0,0,0,0,0,0,0.509428,0.533468,1.82717,1.41192,0,0,0,1,1,0,1
62,,1,1,0.912592,1.31155,3.10339,0,0,0,0,0,0,0,0,0,1.67332,3.11815,0,0,0,0,0,0,1
63,,1,1,0.775465,0,1.78209,0,0.909006,0,1.35628,0,0,0,0,0,1.91436,3.70467,0,0,1,1,0,0,0
66,,1,1,0.733217,0,3.06226,0.965931,0.931805,0,0,0,0,0,0,0,1.41155,2.7267,0,0,1,0,1,1,0
68,,1,1,0.861922,0,2.24803,0.734284,0,0,0,0,0,0,0.760844,0,0,4.62921,0.525967,0,1,0,1,0,0
69,,1,1,0.884099,0,2.87206,0,0,0,0,0,0,0,1.10169,0,0.945634,4.68071,0,0,1,0,1,0,0
70,,1,1,0.875271,0.90121,2.25902,0,0,0,0,0,0,0,1.46452,0,1.48676,4.93472,0,0,1,0,1,0,0
71,,1,1,0.861751,0.84209,2.0602,0,0.698944,0,0,0,0,0,1.40726,0,1.27907,4.67723,0,0,1,0,1,0,0
72,,1,1,0.873618,0.634773,1.84924,0,0,0,0,0,0,0,1.0872,0,1.23302,4.33868,0,0,1,0,1,0,0
73,,1,1,0.873402,0.582608,1.83072,0,0.636268,0,0,0,0,0,1.07138,0,1.2842,4.83801,0,0,1,0,1,0,0
74,,1,1,0.886416,0,1.69623,0,0.529899,0,0,0,0,0,1.2876,0,1.53921,5,0,0,1,0,0,0,0
75,,1,1,0.873257,0,1.59514,0,0,0,0.535581,0,0,0,1.19262,0,1.38842,4.28857,0,0,0,0,0,0,0
76,,1,1,0.853114,0.603512,2.33411,0,0,0,1.2413,0,0,0.503642,0.87644,0,0.663548,2.34379,0,0,0,0,0,0,0
77,,1,1,0.933349,0.929126,1.97924,0,0,0,1.11794,0,0,0,1.0237,0.774364,0,1.25103,0,1,0,0,0,0,0
80,,1,1,0.979219,0,0.990203,0,0.77852,0,0,0,0.553321,0,1.34461,1.37307,0.605114,0,0,0,0,1,1,0,1
107,,1,1,0.963159,1.24684,0.754169,0,0,0,0.701086,0.572738,1.38993,0,0,0,0,0,0,0,1,0,1,0,1
108,,1,1,0.962196,1.51765,0.907666,0,0,0,0,0,1.16573,0,0,0,0,0,0,0,1,0,1,0,1
109,,1,1,0.946368,1.59225,0.972346,0,0,0,0,0,1.19138,0,0,0,0,0,0,0,1,0,1,0,1
110,,1,1,0.957139,1.52296,1.01319,0,0,0,0,0,0.905012,0,0.592548,0,0,0.701234,0,0,1,0,1,0,1
111,,1,1,0.945241,1.4495,1.28077,0,0.530459,0,0,0,0.860842,0,0.57993,0,0.523202,0.606172,0,0,1,0,1,0,1
112,,1,1,0.950252,1.37168,1.33457,0,0,0,0.535472,0,0.639127,0,0.65731,0,0,1.10895,0,0,1,0,1,0,1
113,,1,1,0.948161,1.07165,1.39281,0,0,0,1.19386,0,0.774195,0,0.796827,0,0,1.37049,0,0,1,0,0,0,1
114,,1,1,0.949506,1.06805,1.32313,0,0,0,1.60764,0,0.766099,0,0.523553,0,0,1.53017,0,0,1,0,0,0,1
115,,1,1,0.944168,1.07189,1.74198,0,0,0,1.54631,0,0.615254,0,0.65963,0,0,1.12856,0,0,1,0,0,0,1
116,GOOD,1,1,0.952001,0.859422,1.70941,0,0,0,1.34643,0,0.542804,0,0.716352,0,0,1.26835,0,0,1,0,0,0,1
117,GOOD,1,1,0.954394,0.843599,1.5878,0.522586,0.573461,0,1.19125,0,0.503683,0,0,0,0,1.26332,0,0,1,0,0,0,1
121,GOOD,1,1,0.946839,1.7558,1.78696,0,0,0,1.03213,0,0,0,0,0,0,0.602079,0,0,0,1,1,0,1
122,GOOD,1,1,0.960893,1.72866,1.42219,0,0,0,1.01493,0,0,0,0.978372,0,0.548232,0,0,0,0,1,1,0,0
123,GOOD,1,1,0.962841,1.81121,1.59557,0,0,0,1.25315,0,0,0,1.07172,0,0.753955,0.720029,0,0,0,1,1,0,0
124,GOOD,1,1,0.960587,1.72002,1.51718,0,0,0,1.45195,0,0,0,1.08123,0,0.508211,0.750212,0,0,0,1,1,0,0
125,GOOD,1,1,0.964369,1.64813,1.23758,0,0,0,1.85076,0,0,0,1.27499,0,0,1.13422,0,0,0,1,1,0,1
