time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
337,PT:PRO,1,1,0.899592,2.24651,0,0,0,0,0,0,0,0,0,0.692214,0,0,0,1,0,0,1,0,0
338,PT:PRO,1,1,0.907313,1.85018,0,0,0,0,0,0,0,0,0,0.58208,0,0,0,1,0,0,0,0,0
339,PT:PRO,1,1,0.904712,1.51954,0,0,0,0,0,0,0,0.664863,0,0.616158,0,0,0,1,0,1,0,0,0
340,PT:PRO,1,1,0.912066,1.70106,0,0.615703,0,0,0,0,0,0.764487,0,0.542751,0,0,0,1,0,1,0,0,0
1027,FS:D-DEAF,1,1,0.828793,0,0,0,0,0.619852,1.55225,0.686405,0,1.29784,0,0,0,0,0,1,1,0,1,0,0
1028,FS:D-DEAF,1,1,0.769432,0,0,0,0,0,1.65274,0,0,0.863287,0,0,0,0,0,1,1,0,0,1,0
1029,FS:D-DEAF,1,1,0.744225,0.670598,0,0,0,0,1.63411,0,0,1.31714,0,0,0.796853,0,0,1,0,0,1,0,0
1267,GIRL,1,1,0.844887,2.31149,0,1.31531,0,0,0,0,0,1.06426,0,0.554123,0,0,0,1,0,1,1,0,0
1281,,1,1,0.775368,2.43286,0.821322,0.578761,0,0,0,0,0,0.745988,0,0.962088,0,0,0,0,0,1,1,0,0
1593,PLAN,1,1,0.78729,1.18122,0,0.607983,0.707189,0,0,0,0,0,0,0.913918,0,0,0,1,0,0,0,0,0
1609,PLAN,1,1,0.747935,2.0801,0.861957,0,0,0,0,0,0,1.1068,0,0.848005,0,1.12591,0,1,0,0,0,0,0
2184,,1,1,0.757137,2.06672,0.697921,1.60936,0.930523,0,0,0,0,0,0,0.605981,0,2.77111,0,1,0,0,1,0,0
2185,,1,1,0.812973,2.10289,1.61733,1.06022,0.568594,0,0,0,0,0,0,0,0,0.543424,0,1,0,0,1,0,0
2186,,1,1,0.765622,2.26093,1.35436,1.21479,0,0,0,0,0,0,0,0,0,0.923135,0,1,0,0,1,0,0
2187,,1,1,0.834486,2.19918,0.797541,0.545892,0.534391,0,0,0,0,0.613164,0,0.533133,0,0.824241,0,1,0,0,1,0,0
2188,,1,1,0.856407,1.93343,0,0.649136,1.0125,0,0,0,0,0.638662,0,0,0,1.32866,0,1,0,1,0,0,0
2189,,1,1,0.859214,1.72403,0,0,0.78547,0,0,0,0,0.817492,0,0,0,2.1937,0,1,0,1,0,0,0
2190,,1,1,0.835419,1.7097,0,0,1.05789,0,0,0,0,0.763214,0,0,0,1.916,0,1,0,1,0,0,0
2191,,1,1,0.830843,1.757,0,0,1.11533,0,0,0,0,0.593337,0,0,0,1.73795,0,1,0,1,0,0,0
2192,,1,1,0.833722,2.05867,0,0,0.872728,0,0,0,0,0,0,0.542111,0,1.41863,0,1,0,1,0,0,0
2193,,1,1,0.830185,2.24273,0,0.580504,0.901421,0,0,0,0,0,0,0.62191,0,1.59479,0,1,0,1,0,0,0
2194,,1,1,0.849972,2.07236,0,0.581517,0.839286,0,0,0,0,0.602183,0.553482,0.574656,0,1.7553,0,1,0,1,0,0,0
2195,,1,1,0.868003,1.83526,0,0.707698,0,0,0,0,0,0.696294,0.730535,0.581475,0,1.12153,0,1,0,1,0,0,0
2196,,1,1,0.888496,1.86047,0,0.839145,0,0,0,0,0,0.747221,0.85999,0.556054,0,1.10537,0,1,0,0,0,0,0
2200,,1,1,0.824116,2.43814,0.617802,0,0,0,0,0,0,0.561695,0.935963,0.530509,0,1.45159,0,1,0,1,0,0,0
2201,,1,1,0.786405,2.75807,0.701915,1.02956,0,0,0,0,0,0.564941,0.669381,0.69196,0,0.544226,0,1,0,1,0,0,0
2202,,1,1,0.863958,2.69176,1.15987,1.34959,0,0,0,0,0,0.571392,0.519497,0,0,1.15757,0,1,0,1,0,0,0
