time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
1,YES,1,1,0.933791,1.4018,1.92126,0,0.863569,0,0,0,0,0,0,0,2.4138,0,0.542931,0,0,0,0,0,0
2,YES,1,1,0.789377,1.42974,3.01413,0,1.86123,0,0,0.580404,0,0,1.32069,0,2.41196,0,0,0,0,0,1,0,0
3,YES,1,1,0.966153,0.876086,2.44749,0,1.40684,0,0.770137,0,0,0,1.18244,0,2.79998,0,0.563126,0,0,0,0,0,0
4,YES,1,1,0.922658,1.09071,3.27288,0,0.902956,0,0.561941,0,0,0,0,0,3.35285,0,0.558028,0,0,0,0,0,0
5,YES,1,1,0.932945,0.554026,2.54697,0,1.35361,0,0,0,0.793705,0,1.20977,0.620077,3.35773,0,0.600804,0,0,1,0,0,0
27,YES,1,1,0.936558,1.21142,1.39179,0,0,0,0,0,0.635389,1.21763,0.664976,0.743646,0,0.825857,0,0,1,1,0,0,0
28,YES,1,1,0.889236,1.41812,0.678806,0.802319,0,0.790314,0,0.81084,0.761327,1.8333,1.07026,0,1.54645,1.41261,0,0,1,0,0,0,0
29,YES,1,1,0.933554,1.20823,0.945943,0,0,0.504929,0,0.501635,1.23556,1.29013,0.869103,0.839252,0,0.867855,0,1,1,1,0,0,0
58,,1,1,0.782119,2.02841,2.3508,0,0,0,0.792488,0,0,0.687823,0,0.720036,1.26584,0,0,0,0,1,1,0,0
59,,1,1,0.770609,2.48236,2.41938,0,0.845487,0,1.56366,0,0,1.04885,0,1.22732,1.13976,0,0,0,1,0,1,1,0
60,,1,1,0.920826,1.55764,1.65132,0.618379,0.585128,0,0,0,0,1.27868,0,0.755276,0.654872,0,0,0,0,1,0,0,0
61,,1,1,0.939629,1.45872,2.3021,1.44987,0,0,0,0,0,1.41061,0.642584,0.73452,1.65159,0.796141,0,0,1,1,0,0,0
62,,1,1,0.946965,1.61659,2.4769,1.43467,0,0,0,0,0.799038,1.12334,0.771674,0,1.25404,1.58794,0,0,1,1,0,0,0
63,,1,1,0.949013,1.70223,2.54149,1.14764,0,0,0,0,1.01045,1.13163,0,0,1.4532,1.03107,0,0,1,0,0,0,0
64,,1,1,0.952162,1.45399,2.01993,0.96545,0.661349,0,0,0,1.0231,1.16409,0,0,1.32961,0,0,0,1,0,0,0,0
147,,1,1,0.97889,0,0.610956,0,0,0.803969,0,1.06397,1.57729,1.48331,0,0,1.47796,0.863429,0.556189,1,1,1,0,0,1
148,,1,1,0.906688,0,0,0,0,0.618952,0,0.860817,1.20583,0.535871,0,0,1.60385,0.739576,0.554153,1,1,0,0,0,1
149,,1,1,0.8613,0,0,0,0.557965,0.73754,0,0.93735,1.18392,0.761816,0,0,1.09635,0.790148,0,1,1,1,0,0,1
150,,1,1,0.84743,0,0,0,0.997223,0.737154,0,0.930231,1.16613,0,0,0,0,1.14097,0.571955,1,1,0,0,0,1
151,,1,1,0.822548,0,0,0.748991,1.7049,0.726529,0,0.917159,1.06906,0,0,0,0,1.03997,0,1,1,0,0,0,0
152,,1,1,0.725107,0.577832,0,1.04007,2.83896,0.712809,0,0.742546,0.819211,0,0,0.621585,0,0,0,1,1,0,0,0,0
153,,1,1,0.986239,1.2731,0.836213,0,0,0,0.733373,0.819012,0,1.33706,0,0,0.7588,0,0,1,1,0,0,0,1
192,G:WELL,1,1,0.989031,0.915404,1.02751,0,0,0,0.984912,0.533633,0.834691,0.675584,0,0,0.557692,0,0.598911,0,1,0,0,0,1
193,G:WELL,1,1,0.987937,0.781775,1.50129,0,0.698345,0,0.531644,0.531807,0.755041,0.627566,0,0,0.63473,0,0,0,1,0,0,0,0
194,G:WELL,1,1,0.98797,0,1.21444,0,0.831408,0,0.652722,0.537189,0.916937,0.989475,0,0,1.02299,0,0,0,1,0,0,0,0
195,G:WELL,1,1,0.972285,0,1.27041,0,0.894749,0,0,0.735637,1.16273,0.622337,0,0,1.47255,0,0,0,1,0,0,0,0
196,G:WELL,1,1,0.983754,0,1.19737,0,0,0,0,0.656183,1.20245,0.679836,0,0,1.70159,0,0,0,1,0,0,0,0
197,G:WELL,1,1,0.976073,0,1.50515,0,0.748728,0.510181,0,0.864619,1.37653,0.534468,0,0,1.41925,0,0,0,1,0,0,0,0
198,G:WELL,1,1,0.978328,0,1.58857,0,0.716544,0.724621,0,0.925319,1.59273,1.27223,0,0,1.89904,1.36541,0,0,1,0,0,0,0
199,,1,1,0.978103,0.601437,1.75131,0,0.846057,0.730119,0,0.884783,1.563,1.41577,0,0,1.67451,0,0,0,1,0,0,0,0
200,,1,1,0.969154,0.878023,1.86328,0,0.514607,0.569197,0.984799,0.8803,1.37689,1.58018,0,0,1.76477,1.12164,0,0,1,0,0,0,1
201,,1,1,0.938172,1.56487,1.20816,0,0.695408,0,0.581695,0.554151,1.24595,0.864144,0,0,2.57752,0.716508,0,0,1,0,0,0,1
202,,1,1,0.78397,1.63683,0.986667,0,0,0,0.980091,0.527401,0.645555,0.917852,0,0.62749,1.54137,0,0,0,1,1,0,0,0
203,,1,1,0.955897,0.960687,1.79591,0,0,0,1.45785,0.650009,0,0.620406,0,0,2.11115,0,0,0,0,1,1,0,0
204,,1,1,0.862379,1.04035,1.87669,1.9075,0,0.963268,0,0.933872,0.746101,0.954123,1.35753,0.589055,2.08577,1.46251,0,1,0,1,0,0,0
205,,1,1,0.835195,0,1.58712,0,0.812174,0.511857,2.00918,0.749877,0.662374,1.5148,0,1.17541,3.43106,0,0,0,1,1,1,0,0
210,,1,1,0.957632,1.53989,3.06336,1.56579,1.52902,0.607989,0.911665,0,0.994371,1.33443,0,0.70124,2.06047,1.85807,0,0,1,1,1,0,0
212,,1,1,0.934606,2.92166,2.9495,2.13957,1.52987,0.655171,1.22889,0,0.595123,0.901102,0,0.629868,2.27513,2.17036,0,0,0,1,1,0,0
228,,1,1,0.809673,2.49393,2.56027,2.43809,1.38508,0.597251,1.16669,0,0,1.11934,0,0.994489,2.62654,3.33997,0,0,0,1,1,1,0
229,,1,1,0.731786,2.58694,2.68074,2.7017,1.23685,0.605379,1.93505,0,0,0.973708,0,1.36111,1.60611,1.93696,0,0,0,1,1,1,0
230,,1,1,0.815566,2.43699,2.79279,2.53407,0.719345,0,1.6879,0,0,0.834557,0,0.741237,2.38941,3.41072,0,0,0,1,1,0,1
232,,1,1,0.833445,1.59152,2.48623,2.01324,0.833168,0,0.96983,0,0.783573,1.07925,0,0.798248,2.21368,2.39402,0,0,1,1,0,0,0
233,,1,1,0.800911,1.78019,3.032,2.3027,0.827153,0,1.52451,0,0,0,0,1.12897,1.77098,2.43426,0,0,0,1,1,0,0
234,,1,1,0.779439,2.41315,3.67982,1.50514,0.961547,0,1.92236,0,0,1.08433,0,0.919327,1.56964,2.89473,0,0,1,1,1,0,0
235,,1,1,0.871432,1.25657,2.07444,1.84024,1.02136,0.532198,0.719929,0.574438,0.762215,1.26931,0,0,2.0896,2.41676,0.616301,0,1,1,0,0,0
236,,1,1,0.796744,2.02051,2.64887,2.14988,0.876927,0,1.60531,0,0,0,0,0.849051,1.19941,2.79885,0,1,0,0,1,0,0
237,,1,1,0.874703,2.31922,3.33605,1.42137,1.14163,0.563774,1.00204,0,0,1.34915,0,0.726428,1.85464,2.92358,0,1,1,0,1,0,0
238,,1,1,0.813286,2.33842,2.48489,1.14156,1.97728,0,0.713363,0,0,0,0,1.10153,2.30785,1.95518,0,0,1,0,1,1,0
239,RIGHT,1,1,0.73559,2.02122,2.19066,1.11489,1.83983,0.501057,0,0,0.728592,0.713311,0,1.35415,2.22429,0,0,0,1,0,1,1,0
240,RIGHT,1,1,0.866972,1.68673,2.89576,1.38279,1.40952,0,0.710556,0,0,0.785934,0,0,1.922,0,0,0,1,0,1,0,0
241,RIGHT,1,1,0.824952,1.90963,1.99371,1.39697,1.52151,0,0,0,0.85085,0.663234,0,0,1.99545,1.92932,0,0,1,0,1,0,0
242,RIGHT,1,1,0.802185,1.45258,1.93349,1.2827,1.40905,0,0,0,0.783667,0,0,0,2.22663,1.6181,0,0,1,0,1,0,0
243,RIGHT,1,1,0.851056,1.46167,1.8702,1.20305,1.31778,0,0,0,0.823637,0.522935,0,0,1.91088,1.66819,0,0,1,0,0,0,0
244,RIGHT,1,1,0.743546,1.39278,1.61366,1.18439,1.32111,0,0.571458,0,1.07312,0,0,0,2.23593,1.84747,0,0,1,0,1,0,0
245,RIGHT,1,1,0.770983,1.15357,1.48418,1.26568,1.3437,0,0.663247,0,0.830925,0.534416,0,0,2.07501,1.29919,0,1,1,0,0,0,0
246,RIGHT,1,1,0.85423,1.30582,1.85852,0.801241,0.928898,0,0.819163,0,0.548378,0,0,0,2.30863,1.10215,0,0,1,0,1,0,0
247,RIGHT,1,1,0.778514,1.3864,2.26917,0.907634,1.00681,0,0,0,0.773823,0,0,0,2.45102,0.81927,0,1,1,0,1,0,0
248,RIGHT,1,1,0.835591,1.19587,2.12592,0.909556,1.13967,0,0,0,0,0,0,0,2.37165,0,0,1,1,0,1,0,0
249,RIGHT,1,1,0.827155,1.17622,2.17554,0.673051,1.16273,0,0,0,0,0,0,0,2.46392,0,0,1,1,0,1,0,0
250,RIGHT,1,1,0.823133,1.22211,2.39854,0.645864,1.27743,0,0,0,0,0,0,0,2.58347,0,0,1,0,0,1,0,0
251,RIGHT,1,1,0.810391,1.78653,2.37811,0.76454,1.61186,0,0.77412,0,0,0,0,0,1.84904,0,0,1,0,0,1,0,0
252,RIGHT,1,1,0.820666,2.01632,2.63707,1.47412,1.73076,0,0.831195,0,0,0,0,0,1.44209,1.27317,0,1,0,0,1,0,0
253,RIGHT,1,1,0.815658,1.96848,2.55614,1.01055,2.06263,0,0,0,0,0,0,0,1.62635,1.57932,0,0,0,0,1,0,0
254,RIGHT,1,1,0.790802,2.24884,2.92153,1.2053,1.88374,0,0.531624,0,0,0,0,0,1.65569,2.39589,0,1,0,0,1,0,0
255,RIGHT,1,1,0.758395,2.45514,2.68361,1.20072,1.8413,0,0.505613,0,0,0,0,0,1.95896,2.05474,0,1,0,0,1,0,0
256,RIGHT,1,1,0.806479,1.9655,2.6637,0.854128,1.80771,0,0.835665,0,0,0,0,0.504833,2.05328,2.00298,0,0,0,0,1,0,0
257,RIGHT,1,1,0.80697,2.05199,2.54257,0.923816,1.71448,0,0.849434,0,0,0,0,0,1.88613,2.0057,0,0,0,0,1,0,0
258,RIGHT,1,1,0.81769,2.00632,2.49503,1.02387,1.48656,0,0.866562,0,0,0,0,0,1.6171,2.33496,0,1,0,0,0,0,0
