time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
1,WHO,1,1,0.975142,0.607243,0.57294,0,0,0,0,0.938038,0.899999,1.16306,0,0,2.04634,0,0,0,1,0,0,0,0
2,WHO,1,1,0.981981,0,0,0,0,0,0,0.89341,1.09062,1.0903,0,0,2.1439,0,0.560546,0,1,0,0,0,1
3,WHO,1,1,0.981057,0,0.521423,0,0,0,0,0.949355,1.15109,1.10149,0,0,2.09526,0,0.533137,0,1,0,0,0,0
4,WHO,1,1,0.980717,0,0.529456,0,0,0,0,0.79102,0.959566,0.988515,0.506082,0,1.88853,0,0.522766,0,1,0,0,0,0
5,WHO,1,1,0.979116,0,0.536937,0,0,0,0.509662,0.816989,1.18538,1.09398,0,0,2.10458,0,0.525858,0,1,0,0,0,0
6,WHO,1,1,0.979435,0,0,0,0,0,0.535241,0.807233,1.21134,1.04326,0,0,1.89875,0,0,0,1,0,0,0,0
7,WHO,1,1,0.981476,0,0.587686,0,0,0,0.563418,0.81452,1.03191,1.06799,0,0,1.87151,0,0,0,1,0,0,0,0
8,WHO,1,1,0.980463,0,0.639062,0,0,0,0,0.698714,0.985276,0.781047,0,0,1.99612,0,0,0,1,0,0,0,0
39,WHO,1,1,0.981512,0,0.617565,0,0,0,0,0.608313,0.679696,1.22363,0,0,1.69319,0,0,0,1,0,0,0,0
40,WHO,1,1,0.980934,0,0.506459,0,0,0,0,0,0,0.915661,0,0,1.62638,0,0,0,0,0,0,0,0
41,WHO,1,1,0.976595,0,0.554405,0,0,0,0,0,0,0.907726,0,0,1.62512,0,0,0,0,0,0,0,0
42,WHO,1,1,0.977907,0,0.836116,0,0,0,0,0.518845,0,0.931308,0,0,1.74571,0,0,0,0,0,0,0,0
43,WHO,1,1,0.977482,0,0.904261,0,0,0,0,0,0,0.847363,0,0,1.81564,0,0,0,1,0,0,0,0
44,WHO,1,1,0.978084,0,0.721643,0,0,0,0,0,0,1.00932,0,0,1.64118,0,0,0,1,0,0,0,0
45,WHO,1,1,0.979402,0,0.609914,0,0,0,0,0,0.610506,1.0958,0,0,1.74492,0,0.531165,0,1,0,0,0,0
46,WHO,1,1,0.981351,0,0.840819,0,0,0,0,0.58197,0.721798,1.13517,0,0,1.63272,0,0.506596,0,1,0,0,0,0
47,WHO,1,1,0.978632,0.63344,0.755263,0,0,0,0,0.630244,0.641937,1.18478,0,0,1.75305,0,0.554634,0,1,0,0,0,0
48,WHO,1,1,0.981783,0.693148,0.935519,0,0,0,0,0.502659,0.631217,1.17382,0,0,1.42485,0,0.662094,0,1,0,0,0,0
49,WHO,1,1,0.974954,1.13481,1.26785,0,0,0,0,0,0,1.52293,0,0,2.77208,0,0.726182,0,0,0,1,0,1
54,WHO,1,1,0.961755,0,0,0,0,0,0.582548,1.02082,0.929938,0,1.2405,0,0.698961,0,0,1,1,0,0,0,0
87,,1,1,0.885452,1.39581,1.71509,0,0,0,0,0,0.579309,0,0,1.00543,3.80134,0,0,0,0,0,1,0,0
88,,1,1,0.899796,1.33594,1.57894,0,0,0,0,0,0.675283,0.553443,0,0.951625,3.31891,0,0.578551,0,0,0,1,0,0
89,,1,1,0.906583,0.979565,1.31416,0,0,0,0,0,0,0,0,0.753349,3.62269,0,0.703071,0,0,0,1,0,0
123,TEXT-TO,1,1,0.835977,1.59163,2.00974,0,0.654019,0,0,0,0,0,0,0,2.94573,3.22482,0,0,0,0,0,0,0
124,TEXT-TO,1,1,0.888127,1.73851,1.79289,0,0.595347,0,0,0,0.629689,0,0,0,2.63395,3.7241,0,0,0,0,0,0,0
136,TEXT-TO,1,1,0.905615,1.9106,2.51737,0.580879,0,0,0,0,0,1.06662,0,0.603276,2.20165,1.53362,0,0,0,0,0,0,0
137,TEXT-TO,1,1,0.908451,1.70203,2.30417,0.888391,0,0.591534,0,0.549176,0.76599,1.48052,0,0.612652,2.4749,1.96363,0,0,0,0,0,0,0
138,TEXT-TO,1,1,0.9265,1.46772,2.39586,0.911597,0.51917,0.554027,0,0,0.88087,1.38564,0,0.743609,2.70793,2.0302,0,1,0,0,0,0,0
139,TEXT-TO,1,1,0.917681,1.52128,2.19491,1.23776,0,0.533937,0,0,0.99814,1.39983,0,0.606918,2.39628,1.89863,0,0,0,0,0,0,0
140,TEXT-TO,1,1,0.931913,1.48138,2.11137,0.832418,0,0,0,0,0.868963,1.26698,0,0.554203,2.57499,2.37945,0,0,0,0,0,0,0
141,TEXT-TO,1,1,0.93019,1.80144,2.34031,0.665941,0.620677,0,0,0,0.678894,1.07561,0,0.559942,2.47538,2.9726,0,0,0,0,0,0,0
142,TEXT-TO,1,1,0.934114,1.80442,2.39113,0.648613,0,0,0,0,0.54415,0.88751,0,0.516518,2.61212,2.79719,0,0,0,0,0,0,0
143,TEXT-TO,1,1,0.937605,1.69985,2.39851,0.715131,0,0,0,0,0.751637,1.0841,0,0.508291,2.27465,2.64557,0,0,0,0,0,0,0
144,TEXT-TO,1,1,0.940738,1.5843,2.35137,1.02622,0.596072,0.521274,0,0,0.922543,1.40136,0,0.595842,2.67286,2.29335,0,0,0,0,0,0,0
145,TEXT-TO,1,1,0.929943,1.495,2.344,0.705079,0,0.555935,0,0,0.830376,1.28146,0,0.62289,2.57851,2.10713,0,0,0,0,0,0,0
146,TEXT-TO,1,1,0.913525,1.69161,1.99783,0.650325,0.503503,0.60537,0,0,1.05421,1.4052,0,0.673991,2.56407,2.48432,0,0,0,0,0,0,0
147,TEXT-TO,1,1,0.891213,1.57252,1.89894,0,0,0.673001,0,0.524689,1.21018,1.1621,0,0.5387,2.50163,2.5143,0,0,0,0,0,0,0
148,TEXT-TO,1,1,0.856369,1.81904,2.06737,0,0,0.690463,0,0,1.1008,1.03379,0,0.664882,2.83778,3.08947,0,0,0,0,0,0,0
149,TEXT-TO,1,1,0.809067,2.00021,2.10565,0,0,0.71685,0,0.50958,1.06327,0.909948,0,0.666828,2.70526,2.98317,0,0,0,0,0,0,0
150,TEXT-TO,1,1,0.758763,2.09819,2.1143,0,0,0.688576,0,0.55843,1.08177,0.914035,0,0.629719,2.61432,2.98788,0,0,0,0,0,0,0
151,TEXT-TO,1,1,0.813044,1.21695,1.64726,1.01707,0,0,0,0.988634,0,1.07549,0,0,0.563954,0,0,1,0,0,0,0,1
367,TEXT-TO,1,1,0.750943,1.9499,0.982644,2.89943,0,0,0.929687,0,0,0,0,0.739162,0.878497,0,0,1,0,1,1,0,0
802,WHAT,1,1,0.971387,0,0,0,0,0,0.815068,0,0,1.13086,0.529269,0,1.43112,0,0,1,0,1,0,0,1
803,WHAT,1,1,0.974651,0,0,0,0,0,1.58033,0,0,1.65928,0,0,0.906971,0,0,1,0,1,0,0,1
913,G:WELL,1,1,0.946359,1.24739,0.763748,0.532774,0,0,0,0,0.680248,0,0,0.75594,1.778,0.689216,0,1,0,1,1,0,0
914,G:WELL,1,1,0.942958,1.25083,0.719757,0,0.527255,0,0,0,0.686461,0,0,0,1.65697,0,0,1,0,1,1,0,0
915,G:WELL,1,1,0.813647,1.13109,0.565552,0,0,0,0,0,0.792683,0,0,0,1.6138,0,0,1,0,1,1,0,0
916,G:WELL,1,1,0.847372,0.525446,0.799548,0,0,0,0.533149,0,0.63922,0,0.576582,0,1.06826,1.44226,0,1,0,1,1,0,0
917,G:WELL,1,1,0.847368,0.563225,0.647082,0,0,0,0.586344,0,0,0,1.31475,0,1.59533,0.890899,0,1,0,1,0,0,0
