time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
1,G:HEY,1,1,0.787099,0.875939,0,0,0,0,0.820783,0.525431,0,0,0,0,0,0,0,0,0,0,0,0,0
13,G:HEY,1,1,0.926379,1.08324,0,0,0.548644,0,2.03323,0.566279,0.662007,0.895954,0.980908,0,2.42705,0,0,0,0,1,1,0,1
73,,1,1,0.808089,0,0.668286,0,1.14032,0,0,0,0,0.665357,0,0,1.58151,3.01353,0,0,0,0,0,0,0
74,,1,1,0.815912,0.527875,1.20074,0,0.712462,0,0,0,0,0.858941,0,0,1.07135,2.59706,0,0,0,0,0,0,0
75,,1,1,0.844722,0.515224,0.834176,0,0.702369,0,0,0,0,0.849574,0,0,1.01231,2.30556,0,0,0,0,0,0,0
76,,1,1,0.880589,0,0.527438,0,0.67457,0,0,0,0,1.05128,0,0,1.27885,1.95792,0,0,0,0,0,0,0
77,,1,1,0.801576,1.60843,0,2.74176,0,0,0.88777,0,0,0,0,0,0,0.922591,0,0,0,0,0,0,0
119,PT:PRO,1,1,0.877744,1.207,1.53376,0,0,0,1.05892,0,0.601618,1.52721,0.837327,0,0.550456,0,0,0,0,1,0,0,0
120,PT:PRO,1,1,0.881729,1.16684,1.51628,0,0,0,1.13645,0,0,1.35009,0.594385,0,0,0,0,0,0,1,0,0,0
121,PT:PRO,1,1,0.805821,1.02564,1.56606,0,0,0,0,0,0,0.812865,0.589775,0,0,0,0,0,0,1,0,0,0
122,PT:PRO,1,1,0.867677,1.10177,1.51078,0.732895,0,0,0.7139,0,0,0.936699,0.854906,0,0.849533,0,0,0,0,1,0,0,0
123,PT:PRO,1,1,0.897616,1.15411,1.4506,0,0.692366,0,0.831053,0,0,1.28831,1.15466,0,0.682798,0.657505,0,0,0,1,0,0,0
124,PT:PRO,1,1,0.903686,1.16853,1.76403,0,0.571695,0,0.572697,0,0,1.14537,1.01618,0,1.08977,0.74771,0,0,0,1,1,0,0
125,PT:PRO,1,1,0.887148,1.27674,1.76688,0.509405,0.553089,0,0,0,0,1.22126,1.06217,0,0.888091,1.15987,0,0,0,1,0,0,0
126,PT:PRO,1,1,0.914857,1.44926,1.72359,0.912515,0,0,1.32505,0,0,0.881726,0.833282,0,1.10465,0,0,0,0,1,0,0,0
127,PT:PRO,1,1,0.905334,1.53354,1.65094,0.661035,0.682753,0,1.00473,0,0,0.933736,0.816824,0,0.908154,0.914671,0,0,0,1,0,0,0
128,PT:PRO,1,1,0.910385,1.64234,1.4864,0.510357,0.567227,0,0.684517,0,0,0.92737,0.650976,0,1.05987,1.49643,0,0,0,0,1,0,0
129,PT:PRO,1,1,0.881358,1.67229,1.68137,0.650704,0.5804,0,0.623536,0,0,0.932533,0.813319,0,0.919381,0.753163,0,0,0,0,0,0,0
130,PT:PRO,1,1,0.902029,1.67513,1.43088,0.68645,0.702927,0,0.851895,0,0,0.944553,0.584004,0,0.910985,0.567516,0,0,0,0,0,0,0
131,PT:PRO,1,1,0.931492,1.58044,1.20013,0,0,0,0,0,0,1.46795,0.868244,0,0.713536,0,0,0,0,0,1,0,0
132,PT:PRO,1,1,0.903557,1.33558,0,0,0,0,0,0,0,1.62453,1.37226,0,0.781278,0,0,0,0,1,0,0,0
133,PT:PRO,1,1,0.872961,1.21716,1.10481,0,0,0,0,0,0,1.16743,1.36926,0,1.18267,0,0,0,0,1,1,0,0
134,PT:PRO,1,1,0.91068,1.2048,1.03082,0,0.524677,0,0,0,0,0.969827,1.00795,0,1.05713,0.527985,0,0,0,1,1,0,0
135,PT:PRO,1,1,0.902161,1.17562,0.884123,0,0.532317,0,0,0,0,0.94091,0.957909,0,1.18709,0,0,0,0,0,1,0,0
136,PT:PRO,1,1,0.893259,1.14419,0.574057,0,0.558563,0,0,0,0,0.535179,1.18906,0,0.911991,0,0,0,0,1,1,0,0
137,PT:PRO,1,1,0.87264,1.11677,0.603818,0,0,0,0,0,0,0,1.28619,0,0.827626,0,0,0,0,1,1,0,0
138,PT:PRO,1,1,0.87091,0.889412,0.825965,0,0,0,0,0,0,0,1.60571,0,0.84518,0,0,0,0,1,0,0,0
139,PT:PRO,1,1,0.905696,1.21897,0.63081,0,0.788709,0,0,0,0,0.939361,0.657785,0,0.665453,0.746526,0,0,0,0,0,0,0
140,PT:PRO,1,1,0.906907,1.28614,0.600785,0,0,0,0,0,0,1.13353,0.84891,0,0.844804,0.986379,0,0,0,0,0,0,0
141,,1,1,0.920971,0.971916,0.697079,0,0,0,0,0,0,0.966742,1.60613,0,0.865793,0,0,0,0,1,0,0,0
142,,1,1,0.913061,1.07543,0.588064,0,0,0,0,0,0,0.976202,1.59609,0,1.0384,0,0,0,0,1,0,0,0
143,,1,1,0.927771,1.16391,0.592441,0,0,0,0,0,0,1.22018,1.6088,0,0.870923,0.569425,0,0,0,1,1,0,0
144,,1,1,0.921884,1.20463,0,0.529122,0,0,0,0,0,0.846212,1.23092,0,0.50769,0,0,0,0,1,0,0,0
146,,1,1,0.898845,0.937194,0,0,0,0,0,0,0,0.878472,0.746855,0,0,0,0,0,0,1,1,0,0
147,,1,1,0.931747,0.972969,0.595002,0,0,0,0,0,0,1.65187,0.79916,0.582643,0.591468,0,0,0,0,1,1,0,0
148,,1,1,0.900194,0.562633,0.619358,0,0,0,0,0,0,1.22399,1.2497,0.507524,0.827432,0,0,0,0,1,1,0,0
149,,1,1,0.891759,0.821253,0.61137,0,0,0,0.520109,0,0,1.36733,1.26593,0,0,0,0,0,0,1,1,0,1
150,,1,1,0.855349,0,0,0.74528,0,0,0,0,0,1.42453,0.903136,0,0,1.68547,0,0,0,0,1,0,0
151,,1,1,0.879772,0,0,0,0,0,0,0,0,0.732063,1.25346,0,0.559839,1.23898,0,0,0,1,0,0,0
152,,1,1,0.900875,0,0,0.944455,0,0,0.575616,0,0.661884,0,1.18431,0,0.996309,2.25369,0,0,0,1,1,0,0
153,,1,1,0.911233,0,0,0.711945,0,0,0.63664,0,0.571769,0,1.339,0,0,2.53522,0,0,0,1,1,0,0
154,,1,1,0.929744,0,0,0.571681,0.839467,0,0.561879,0,0.53693,0,1.30836,0,0,2.32916,0,0,0,1,1,0,0
155,,1,1,0.898968,0,0,0.534666,0,0,0.558586,0,0.762498,0,1.20818,0,0,2.71952,0,0,0,1,1,0,0
156,,1,1,0.927552,0,0,0.55744,0,0,1.04366,0,0,0,1.25475,0,0,2.0774,0,0,0,1,1,0,0
