time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
1,YES,1,0.976108,1,-28.2931,-252.012,1198.78,0.00408267,-0.181942,0.010216
2,YES,2,0.969852,1,-31.26,-251.718,1196.09,-0.000901548,-0.135525,-0.0172247
3,YES,3,0.966646,1,-36.4105,-253.594,1202.38,-0.0266445,-0.0865047,-0.0150331
4,YES,4,0.967865,1,-40.0443,-254.256,1203.69,-0.0320118,-0.040498,-0.0152997
5,YES,5,0.96891,1,-42.697,-253.61,1200.77,-0.0289957,-0.00137244,-0.0158703
6,YES,6,0.969418,1,-45.1216,-253.825,1201.61,-0.0231647,0.024638,-0.0161445
7,YES,7,0.968017,1,-46.9334,-253.152,1198.26,-0.021973,0.0484654,-0.0213974
8,YES,8,0.970788,1,-49.2133,-251.753,1192.39,-0.0190274,0.077503,-0.0292116
9,YES,9,0.968883,1,-51.735,-250.755,1186.53,-0.0230192,0.105183,-0.035291
10,YES,10,0.970899,1,-54.8614,-249.842,1181.22,-0.0229541,0.153045,-0.0395435
11,YES,11,0.977691,1,-57.7612,-248.945,1176.87,-0.0187074,0.190766,-0.0446355
12,YES,12,0.979069,1,-62.0298,-251.586,1189.42,-0.00720985,0.233611,-0.0232955
13,YES,13,0.9766,1,-64.5635,-252.197,1190.63,-0.00594886,0.25958,-0.0136431
14,YES,14,0.977637,1,-66.2039,-252.299,1190.16,-0.00106326,0.272762,-0.0095341
15,YES,15,0.97554,1,-67.661,-252.429,1189.46,0.00124319,0.281936,-0.00972057
16,YES,16,0.974711,1,-68.374,-252.261,1188.1,-4.94637e-05,0.288466,-0.0108548
17,YES,17,0.97222,1,-69.1768,-252.461,1189.37,-0.00189022,0.289277,-0.0136613
18,YES,18,0.97425,1,-69.7912,-252.6,1189.27,-0.000495379,0.295344,-0.0178693
19,YES,19,0.976447,1,-70.2665,-252.662,1189.32,0.00142089,0.301991,-0.0195199
20,YES,20,0.975236,1,-71.3349,-253.468,1192.42,0.00126095,0.304748,-0.0214128
21,YES,21,0.975231,1,-71.5085,-253.531,1191.24,0.00169664,0.308534,-0.0220655
22,YES,22,0.972598,1,-71.6367,-253.641,1192.07,-0.0021218,0.309252,-0.0225781
23,YES,23,0.970716,1,-72.4171,-253.061,1188.95,-0.00280705,0.316857,-0.0228563
24,YES,24,0.973607,1,-72.9184,-253.37,1189.36,-0.0101572,0.323222,-0.0238636
25,YES,25,0.971256,1,-72.9133,-253.208,1189.2,-0.00715023,0.322303,-0.0244309
26,YES,26,0.971865,1,-73.4437,-253.244,1189.35,-0.00592862,0.32673,-0.0252782
27,YES,27,0.97564,1,-73.609,-253.757,1190.48,-0.00893656,0.329266,-0.0266628
28,YES,28,0.972786,1,-73.434,-253.258,1189.22,-0.00502166,0.330524,-0.0272585
29,YES,29,0.971249,1,-73.7081,-253.26,1189.32,-0.00399947,0.334392,-0.0275415
30,YES,30,0.975329,1,-73.5704,-253.02,1186.88,-0.00842353,0.337139,-0.0273624
