time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
1,HOLIDAY,1,0.770749,1,-161.201,-325.537,1721.14,-0.155798,-0.0287066,-0.00318662
2,HOLIDAY,2,0.748346,1,-130.607,-242.771,1344.61,-0.016688,-0.300919,-0.034451
3,HOLIDAY,3,0.773294,1,-133.336,-245.632,1344.43,-0.0743303,-0.379491,-0.0756158
4,HOLIDAY,4,0.79305,1,-139.38,-250.958,1359.98,-0.0796376,-0.39905,-0.0776296
5,HOLIDAY,5,0.830189,1,-146.186,-259.801,1392.87,-0.0556695,-0.403923,-0.0633456
6,HOLIDAY,6,0.888354,1,-145.638,-263.414,1397.88,-0.0315364,-0.456311,-0.044645
7,HOLIDAY,7,0.872898,1,-139.449,-261.461,1378.24,-0.0123192,-0.516582,-0.0342077
8,HOLIDAY,8,0.91014,1,-134.572,-279.214,1455.78,-0.150295,-0.10419,0.0132208
9,HOLIDAY,9,0.790877,1,-130.513,-277.555,1443.4,-0.131409,-0.201177,0.0314333
18,HOLIDAY,18,0.867551,1,-45.2145,-279.715,1429.61,-0.0424033,-0.261102,0.00318787
19,HOLIDAY,19,0.92074,1,-40.8387,-274.762,1405.73,0.0385583,-0.424528,0.00667709
20,HOLIDAY,20,0.89035,1,-33.7542,-263.465,1352.27,0.0628667,-0.477378,0.00696062
21,HOLIDAY,21,0.827008,1,-26.7885,-257.63,1327.98,0.0702923,-0.492658,0.00605026
22,HOLIDAY,22,0.767772,1,-20.7615,-253.99,1313.7,0.0681859,-0.517587,-0.00975668
23,HOLIDAY,23,0.769175,1,-15.6732,-253.194,1308.34,0.0555186,-0.542501,-0.0298432
24,HOLIDAY,24,0.967385,1,6.91917,-277.658,1424.91,-0.00585974,-0.297124,-0.0592187
25,HOLIDAY,25,0.962532,1,2.69822,-275.636,1408.32,-0.0245847,-0.202984,-0.095198
26,HOLIDAY,26,0.901065,1,-3.43204,-268.858,1371.8,-0.0438048,-0.103542,-0.125052
27,HOLIDAY,27,0.734517,1,-6.44082,-266.679,1357.81,-0.0708014,-0.00631422,-0.135545
28,HOLIDAY,28,0.94749,1,-35.3081,-258.558,1329.15,-0.0288152,0.245852,-0.0772404
29,HOLIDAY,29,0.931449,1,-37.7252,-262.296,1356.62,0.0104119,0.355178,-0.0628881
30,HOLIDAY,30,0.927542,1,-35.6627,-263.325,1380.18,0.0428476,0.363205,-0.0344767
31,HOLIDAY,31,0.753394,1,-30.9377,-261.599,1400.62,0.106693,0.308623,-0.0255486
36,HOLIDAY,36,0.920878,1,20.8397,-217.97,1389.12,0.162081,0.44934,0.025611
37,HOLIDAY,37,0.903054,1,23.2776,-216.285,1393.11,0.201682,0.506424,0.0329222
38,HOLIDAY,38,0.87089,1,23.0338,-229.101,1480.19,0.168313,0.260569,0.0392644
39,HOLIDAY,39,0.91739,1,24.5933,-236.463,1511.93,0.137298,0.299123,0.0491274
40,HOLIDAY,40,0.935181,1,25.9768,-242.218,1527.76,0.130165,0.347802,0.0529911
41,HOLIDAY,41,0.935597,1,26.0511,-243.479,1516.47,0.116147,0.424646,0.0531826
42,HOLIDAY,42,0.947756,1,25.0014,-239.138,1482.68,0.121494,0.523934,0.0324377
43,HOLIDAY,43,0.933229,1,19.5189,-224.938,1402.51,0.135538,0.353992,-0.075972
44,HOLIDAY,44,0.948594,1,17.5768,-223.683,1407.05,0.178711,0.439742,-0.102255
45,HOLIDAY,45,0.939316,1,15.1483,-220.555,1409.49,0.216175,0.503778,-0.13719
46,HOLIDAY,46,0.9498,1,12.0106,-216.212,1411.14,0.250528,0.534413,-0.169892
47,HOLIDAY,47,0.95717,1,8.55255,-211.816,1414.82,0.278497,0.552469,-0.207039
48,HOLIDAY,48,0.813141,1,5.00071,-206.538,1413.75,0.310464,0.568406,-0.247551
49,HOLIDAY,49,0.862671,1,2.21227,-206.6,1436.05,0.280223,0.659845,-0.225716
50,HOLIDAY,50,0.88461,1,-1.60441,-206.909,1436.04,0.259816,0.689355,-0.215864
51,,51,0.885211,1,-5.20623,-209.165,1433.81,0.252554,0.703625,-0.215434
52,,52,0.892898,1,-8.45278,-211.732,1430.09,0.252209,0.712351,-0.218773
53,,53,0.888794,1,-11.0528,-215.684,1431.46,0.250628,0.707841,-0.217678
54,,54,0.882218,1,-13.5326,-220.76,1434.93,0.246858,0.7102,-0.214876
55,,55,0.894711,1,-15.6569,-226.045,1438.11,0.243788,0.712497,-0.216465
56,,56,0.910631,1,-17.2469,-230.461,1443.13,0.241239,0.691223,-0.223168
57,,57,0.902207,1,-17.4784,-235.371,1453.95,0.264202,0.670392,-0.244969
58,,58,0.890144,1,-18.3229,-239.218,1460.7,0.298166,0.664053,-0.270878
59,,59,0.885036,1,-20.6572,-241.534,1463.07,0.322958,0.670733,-0.28434
60,,60,0.851477,1,-23.8404,-243.852,1463.87,0.342858,0.675221,-0.297192
61,,61,0.772382,1,-27.0609,-250.766,1484.43,0.385017,0.669246,-0.326549
62,,62,0.778612,1,-32.9366,-251.117,1470.65,0.381602,0.684453,-0.324957
63,,63,0.757846,1,-38.884,-252.965,1468.35,0.385284,0.696169,-0.328409
64,,64,0.740156,1,-44.146,-253.665,1467.66,0.402566,0.712762,-0.347645
65,,65,0.957798,1,-60.938,-229.547,1361.69,-0.00502598,0.315703,-0.109377
66,,66,0.95907,1,-65.2138,-232.844,1381.45,0.0157375,0.397651,-0.125706
67,,67,0.961243,1,-69.4095,-234.24,1387.34,0.0642009,0.505601,-0.131209
68,,68,0.820352,1,-74.0467,-234.318,1379.67,0.097429,0.562936,-0.124355
69,,69,0.791838,1,-79.3844,-235.957,1378.27,0.103574,0.651924,-0.0805316
70,,70,0.755427,1,-85.4694,-235.668,1371.4,0.11718,0.68202,-0.0625881
71,,71,0.96207,1,-100.987,-226.651,1337.19,-0.0439606,0.296432,-0.0654505
72,,72,0.95831,1,-106.376,-227.205,1341.21,-0.0283777,0.367308,-0.0626436
73,,73,0.939766,1,-110.603,-226.672,1336.4,0.0058565,0.467145,-0.0411592
74,,74,0.914591,1,-112.43,-222.496,1311.05,0.0274554,0.487089,-0.0152306
75,,75,0.790123,1,-115.052,-219.245,1294.24,0.0647793,0.479042,-0.0281968
76,,76,0.946721,1,-148.06,-223.303,1332.75,-0.0610049,0.399166,-0.0459605
77,,77,0.928411,1,-149.787,-220.379,1304.94,-0.0235885,0.479977,-0.0331634
78,,78,0.931996,1,-148.95,-218.297,1266.23,-0.0430079,0.50142,0.00426576
79,,79,0.777809,1,-148.577,-219.931,1238.31,-0.0989702,0.531904,0.0197627
80,,80,0.945718,1,-172.063,-237.346,1258.19,-0.046159,0.392054,-0.0280256
81,,81,0.914123,1,-174.175,-244.864,1256.64,-0.0940311,0.463089,-0.018451
82,,82,0.831117,1,-168.88,-242.465,1210.81,-0.212762,0.500052,0.0193117
83,,83,0.84619,1,-163.286,-244.097,1188.78,-0.317704,0.500202,0.0730802
84,,84,0.838626,1,-160.277,-245.693,1204.87,-0.314114,0.469267,0.100575
85,,85,0.748384,1,-161.611,-247.048,1242.25,-0.201863,0.360857,0.11062
86,,86,0.944775,1,-136.233,-229.123,1251.74,-0.00513169,0.419894,-0.0108422
87,,87,0.91483,1,-137.764,-229.583,1292.3,0.0480029,0.463501,-0.0221497
88,,88,0.92333,1,-135.552,-234.195,1315.62,-0.0106639,0.455742,0.0073025
89,,89,0.910752,1,-131.071,-236.856,1313.32,-0.0603587,0.409971,0.0524967
90,,90,0.89561,1,-127.055,-237.712,1320.26,-0.0665879,0.338147,0.0761746
91,,91,0.881859,1,-126.975,-243.425,1367.41,-0.0117622,0.253643,0.0879449
92,,92,0.93742,1,-100.845,-222.094,1271.99,0.0594715,0.201116,-0.00898493
93,,93,0.921344,1,-101.474,-229.309,1326.69,0.0885877,0.196612,0.0116818
94,,94,0.750929,1,-100.623,-235.618,1371.38,0.0791084,0.07212,0.0377287
95,,95,0.927464,1,-80.4913,-225.874,1328.49,0.0463718,0.334438,0.00305926
96,,96,0.911773,1,-77.4619,-228.168,1351.42,0.0626596,0.342007,0.0221976
97,,97,0.905991,1,-74.2149,-230.655,1378.29,0.116434,0.334796,0.0352362
98,,98,0.918467,1,-71.9086,-234.155,1412.93,0.134596,0.29947,0.040922
99,,99,0.926827,1,-70.8478,-239.773,1459.11,0.143191,0.244995,0.0420152
100,,100,0.932264,1,-69.9638,-244.442,1497.55,0.150813,0.204623,0.0409509
