time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
1,PT:PRO2SG,1,0.96918,1,-171.65,-201.018,1297.25,-0.000607042,-0.0211698,-0.0857521
2,PT:PRO2SG,2,0.970881,1,-172.414,-203.943,1310.81,0.0234228,-0.0251991,-0.0918601
3,PT:PRO2SG,3,0.96931,1,-172.083,-205.218,1317.65,0.0429352,-0.0361366,-0.0890388
4,PT:PRO2SG,4,0.96842,1,-172.367,-206.895,1323.66,0.0416906,-0.0349069,-0.0852465
5,PT:PRO2SG,5,0.968586,1,-172.795,-208.576,1329.13,0.0304157,-0.0329587,-0.082817
6,PT:PRO2SG,6,0.963634,1,-172.047,-208.285,1328.75,0.0281043,-0.0467239,-0.0778061
7,PT:PRO2SG,7,0.962562,1,-168.887,-207.173,1327.51,0.0253293,-0.10251,-0.0745697
8,PT:PRO2SG,8,0.955784,1,-161.341,-204.696,1313.85,0.023477,-0.186965,-0.0763428
9,PT:PRO2SG,9,0.921658,1,-153.796,-204.513,1314.96,0.018406,-0.253908,-0.0767359
10,PT:PRO2SG,10,0.877602,1,-148.232,-205.619,1325.82,0.00883297,-0.310187,-0.0569937
11,PT:PRO2SG,11,0.817397,1,-144.851,-209.424,1349.76,-0.00145434,-0.338635,-0.0396637
12,PT:PRO2SG,12,0.852919,1,-140.058,-209.961,1359.52,0.0112723,-0.390502,-0.0293236
13,PT:PRO2SG,13,0.894186,1,-134.362,-206.419,1359.24,0.0495006,-0.456498,-0.0252604
14,PT:PRO2SG,14,0.871649,1,-129.639,-200.212,1353.47,0.10403,-0.510718,-0.0180525
15,PT:PRO2SG,15,0.888483,1,-127.547,-198.921,1367.75,0.123032,-0.54744,-0.0284704
16,PT:PRO2SG,16,0.824576,1,-123.919,-197.529,1361.63,0.109444,-0.58238,-0.0493819
17,PT:PRO2SG,17,0.886784,1,-122.505,-197.756,1371.49,0.072507,-0.675842,-0.0577529
21,PT:PRO2SG,21,0.748885,1,-108.936,-175.709,1241.36,0.0145535,-0.799828,-0.109479
22,PT:PRO2SG,22,0.858546,1,-117.509,-187.508,1310.51,0.0115939,-0.740835,-0.0956955
23,PT:PRO2SG,23,0.901277,1,-123.168,-190.811,1342.79,0.0141994,-0.706258,-0.104464
24,PT:PRO2SG,24,0.863193,1,-132.902,-201.323,1414.77,0.0118236,-0.677709,-0.117132
26,PT:PRO2SG,26,0.820575,1,-135.137,-208.581,1424.77,0.00986501,-0.65059,-0.132829
27,PT:PRO2SG,27,0.965619,1,-129.723,-207.414,1378.63,-0.0475783,-0.65425,-0.140262
28,PT:PRO2SG,28,0.946674,1,-126.193,-211.513,1361.33,-0.105791,-0.667271,-0.173935
29,PT:PRO2SG,29,0.868884,1,-126.733,-220.753,1382.97,-0.150882,-0.659566,-0.209438
30,PT:PRO2SG,30,0.751227,1,-129.294,-230.974,1416.12,-0.161277,-0.637483,-0.213318
31,PT:PRO2SG,31,0.90522,1,-130.918,-237.418,1434.73,-0.16834,-0.613748,-0.212744
32,PT:PRO2SG,32,0.933164,1,-131.182,-239.791,1441.74,-0.165018,-0.589184,-0.216384
33,PT:PRO2SG,33,0.901356,1,-130.753,-238.769,1432.98,-0.167715,-0.606005,-0.214121
34,PT:PRO2SG,34,0.895952,1,-131.308,-238.428,1431.57,-0.16225,-0.619949,-0.21271
35,PT:PRO2SG,35,0.912742,1,-131.832,-236.925,1428.09,-0.147797,-0.625647,-0.207471
36,PT:PRO2SG,36,0.931236,1,-134.632,-239.277,1440.95,-0.165598,-0.613796,-0.216676
37,PT:PRO2SG,37,0.92938,1,-137.46,-241.808,1456.32,-0.17047,-0.605369,-0.219559
38,PT:PRO2SG,38,0.933014,1,-139.576,-243.77,1467.34,-0.174842,-0.599585,-0.221195
39,PT:PRO2SG,39,0.937853,1,-141.744,-245.962,1480.17,-0.174199,-0.595651,-0.221383
40,PT:PRO2SG,40,0.943685,1,-143.772,-248.262,1495.19,-0.171786,-0.592647,-0.219574
41,PT:PRO2SG,41,0.948174,1,-146.349,-251.972,1518.67,-0.170005,-0.589181,-0.216771
42,PT:PRO2SG,42,0.948357,1,-148.149,-255.448,1541.05,-0.167389,-0.590317,-0.214677
43,PT:PRO2SG,43,0.942669,1,-150.051,-259.549,1565.82,-0.15705,-0.591704,-0.209236
44,PT:PRO2SG,44,0.941993,1,-151.376,-262.361,1582.8,-0.132202,-0.59122,-0.201458
45,PT:PRO2SG,45,0.932914,1,-152.048,-263.513,1593.74,-0.0983406,-0.591895,-0.190315
46,,46,0.931534,1,-151.811,-262.314,1601.16,-0.0568679,-0.599264,-0.174996
47,,47,0.933069,1,-149.538,-256.572,1585.39,-0.0361696,-0.604647,-0.160331
48,,48,0.933712,1,-146.728,-249.879,1559.35,-0.0514972,-0.605988,-0.156162
49,,49,0.939767,1,-142.961,-242.816,1524.4,-0.0703335,-0.614523,-0.159561
50,,50,0.939731,1,-140.34,-238,1496.29,-0.0876418,-0.617749,-0.169598
51,,51,0.941254,1,-138.529,-235.076,1477.3,-0.0989327,-0.618704,-0.17912
52,,52,0.941237,1,-137.285,-232.87,1461.52,-0.10841,-0.618921,-0.186883
53,,53,0.938021,1,-137.199,-232.145,1457.19,-0.104636,-0.617062,-0.187159
54,,54,0.938152,1,-138.52,-232.369,1460.2,-0.105242,-0.608707,-0.189188
