duration,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
18.8559322033898,0.306402,0,0.255589,0,0,0.12537725,0,0,0.534972,0,0,0,0.681945,0,0,1,0,0.5,0,0
22.9824561403509,0.255334,0,0.591996,0,0,0,0,0.2916225,0.627485,0,0,0.287389,0.747087,0,0,1,0,0,0,0
15.2258064516129,0,0.255248,0.784545,0,0,0.713905,0.368256,0.3757665,0.933195,0,0,0,0,0,0,0.5,0,0,0,0
15,1.27261675,1.4532725,1.07131,0.5368825,0.68062125,0.5786875,0.6482375,1.60261,0.3801725,0,0,0,1.2964805,0,0.5,1,0,0.5,0,0
27.8809523809524,0,0,0.56495475,0,0,0.587426,0,0.29404475,0.57601025,0,0,0,1.1648825,0,0,0,0,0.75,0,0
29,0.56429,0.260315,0.71738925,0,0,0.592698,0,0,0,0.2771585,0,0,1.11014,0,0,0,0,1,0,0
13.7777777777778,0,0,1.081165,0,0,0,0.67846,0.710175,1.3268,0,0.612682,0,0.50281,0,1,1,0,1,0,0
13,1.091534,0.537285,0.882665,0.52258,0,0.2776345,0,0,0.52082,0,0,0.89845,2.74536,0,0.5,0,0,0,0,0.5
11.75,0.71797525,0.5488575,0,0.6670595,0,0,0,0.24265875,0.697405,0,0,0,0.8193695,0,0,0.5,0,0.25,0,0
27.8333333333333,0,0,0.2427585,0,0.262898,0.340097,0.687476,1.06308,1.018123,0,0,0,0.917216,0,0,1,0,0.25,0,0
19.5333333333333,0.752191,0.502918,0,0,0,0,0,0,0.254076,0,0,0.631518,0.7181,0,0,0,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.9,0,0.34475375,0,0,0,0.15186425,0.26230275,0,0.7161815,0,0,0.2916635,0.5531425,0,0,0.5,0,0.75,0,0
16,0.51541475,0,0.95885475,0,0,0.368448,0,0,0,0.770307,0,0,2.84114,0,0.25,0,0,0.75,0,0.75
19.7142857142857,0,0,0.53415,0,0.526025,0,0.534947,0.624205,1.027589,0.269608,0,0,0,0,0,1,0.5,0,0,0
21.1428571428571,0,0.2711525,0.84677625,0,0,0,0,0,0.55600725,0.26337325,0,0,0.814071,0,0,0,0,0.75,0,0
41.1818181818182,0.746394,0.579224,0,0,0,0.586906,0,0,0,0,0,0,1.818405,0,0,0,0,0,0,0
8,0.7251995,0,0.3499575,0.974115,0,0.68778075,0,0,0,0,0,0.60723175,0.6386725,0,1,0,0,0.75,0,0
13.2,0,0.5888335,0,0,0,0.128511,0,0.4144935,0.7317935,0,0,0.6414135,0,0,0,1,0,0,0,0
27.9,0.20740925,0.5413165,0,0.15112725,0,0.1493135,0.12738075,0.62648375,1.01552025,0,0,0.57439375,1.8863425,0,0,1,0,0.25,0,0
28.5714285714286,0.846197,0.42575,0,0,0,1.04659,0,0,0,0,0,0,1.18764,0,0,0,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.125,0,0.524365,0,0.56293875,0.256149,0.73319275,0.467063,0.80948825,0.81693425,0,0,0,1.1529595,0,0,0.5,0,0.75,0,0
42,0,0,3.123155,0,0.6622895,1.304695,0.7441885,0.692446,1.09617,0,0,0.2520455,2.480535,0,1,1,1,1,0,0
53,0,0,0,0,0,0.520751,0,0.526814,0,0,0,0,0,0,0,1,0,0,0,0
29.75,0,0,0.445946,0,0.509975,1.679685,0.937103,0.5683075,1.31474,0,0,0,1.708845,0,0,0.5,0,0.5,0,0
29.2,0.60923,0,0,0,0,0.6200525,0,0,0,0.275597,0,0,0,0,0,1,0,0,0,0
30.6666666666667,0.554152,0.6889265,1.48453,0,0,1.011363,0,0,0,0.2746525,0,0.562359,1.55172,0,1,0,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.75,0,0,0.83163775,0.3229155,0,0.8098555,0.136266,0.47591375,0.65002175,0,0,0,0.63254,0,0,0.5,0,0.25,0,0
27,0.62850225,0,0.766055,0,0.255052,0.293068,0.3354175,0.6619055,0.34431925,0.45796225,0.2599045,0,1.553455,0,0,1,0,0.5,0,0
10.3333333333333,0.895601,0.9705385,1.87514,1.021249,0,0,0,0.276787,1.334515,0,1.02044,0.3368435,0.897135,0,1,1,1,0.5,0.5,0
19.7142857142857,0.842992,0.381729,0.363453,0,0,0.4763625,0,0,0,0.8163605,0,0,0,0,0,0,1,1,0,0
19.25,0.97216075,0,0.522881,0,0,0.62311075,0,0,0,0,0,0,1.877375,0,0,0,0,0.5,0,0
15,1.027725,0,1.56355,0,0,0.865035,0,0,0,0,0.5414855,0.556937,1.41466,0,1,0,1,0,0,0
19.875,0.14422825,0,0.31030925,0,0,0.666555,0,0,0.71570925,0.12714175,0,0.1983645,0.922385,0,0,0.75,0,0,0,0
24.1666666666667,0.172867,0,1.15749,0,0,0,0.1349775,0,0.554724,0.13447025,0.24529075,0.314706,1.58202,0,1,0.25,0,1,0,0
21,0,0.6920675,0.41725625,0.13333375,0.4521565,1.0020415,0.61131,0.42187475,1.147505,0,0,0.298657,0.77679175,0,0,0.5,0.5,0.5,0,0
22,0,0.6594695,0.726525,0,0,0,0,0.250301,0.642206,0,0,0.23334,0.721786,0,0,0,0,0,0,0
9.66666666666667,0,0.670016,0,0.841712,0.583988,0,0.9640805,1.040695,1.20058,0,0,1.10537,0.560745,0,0,1,0,0,0,0
20,0.303332,0,0,0,0.382648,0,0.3417295,1.39287625,0.768914,0,0,0.13628725,2.599045,0,0.5,1,0,0.5,0,0
43.2352941176471,0,0,0.55582,0,0,0.250188,0,0,0.6817935,0,0,0,0,0,0,0,0,0,0,0
17.5,0.5370475,0.255788,0,0,0,0,0,0,0,0.13635175,0,0,0,0,0,0,0.5,0.5,0,0
21,0.2801145,0.693341,0,0,0,0.34230125,0.34623975,0.349101,0.32655175,0.96670425,0,1.119801,0.582565,0,0,0,1,0,0,0
65.6666666666667,0,0,0.5610555,0.27954825,0,0,0,0.28435375,0.92000075,0,0,0.60282125,0,0,0,1,0,0.5,0,0
3.5,0.654337,1.23854825,1.4534725,0.809548,0,0.8943425,0,0.319237,0.70492225,0,0,0.266724,3.6753425,0.1306195,1,0.5,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0.598572,0,1.57347,0.530333,0,0.698979,1.337,0.889567,0,0.958275,0,0,0,0,1,0,1,1,0
30,0,0.2571855,0.3180125,0.39528,0,0.3667085,0,0.313061,0.3563945,0.2734285,0,1.0229465,0.421389,0,0.5,1,0,0.5,0,0.5
20.25,0,0.134236,1.2637275,0,0,0.64704975,0,0,0.4095275,0.500277,0.617484,0,1.5696295,0,1,0,0,0.5,0,0.5
23.3333333333333,0.5308955,0.40794375,0.99367825,0,0,1.00120925,0.618322,0.2697,0.65842675,0,0,0,1.61022975,0,0,1,0,0.5,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0,0.552327,1.37317,0,0,1.59118,0.844257,0,0.808213,0.765233,1.16409,0.565577,0,0,1,0,1,0,0,0
33.3636363636364,0,0.559814,1.28621,0,0,0,0,0,0.545418,0,0,0,1.0882,0,1,0,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0625,0.15763075,0,0.59259675,0.5727535,0,0.337628,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
36.8333333333333,0,0.4813355,0.6269845,0,0,0,0,0,0.71564575,0,0,0.335538,0.59161875,0,0,1,0.25,0,0,0
21.7777777777778,0.709577,0.740849,0,0.606768,0,0,0,0,0,0,0,0.835494,0,0,0,0.5,0.5,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.29919175,1.4670875,0.504018,1.31467075,0.833799,1.1686,1.07004,1.01697225,1.575995,0,0,0.446818,0.6793925,0,0.25,0.5,0,0,0,0
31,0,0,0.601295,0,0.558447,0,0,0.667566,0.788243,0,0,0,0.71301,0,0,1,1,1,0,0
7,0.423694,1.03663,0.546885,0.512828,0.559674,0.737585,1.025718,0.875929,1.54139,0.56293,1.2401,0,0,0,0.5,1,0.5,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0,0,0,0,0.5951025,1.11331,0.945484,0.897166,0.7630935,0,0,0.7530335,2.664525,0,0,1,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,0.5171645,0,0,0,0,0,0,0.536735,0.6557385,0,0,0.558886,1.37945,0,0,1,0,0,0,0
30,0,0.6401875,0.8228235,0,0.94379,0.7877275,1.098145,1.08241,1.143885,0,0.263702,0.717387,0,0,0,1,0,0,0,0
3,0.89485025,0.1973835,0.1256895,0.563127,0,1.07994,0.296035,0.57544325,0.15531575,0.68103975,0.25731,0,0,0,0.25,0,0.75,0.25,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0909090909091,0,0,1.0415,0,0,0.7700875,0.501062,0.3904735,0,0,0,0,0.924063,0,0,1,0,1,0,0
30.8,0,0,0,0,0,0.503509,0,0,0.7607235,0.531338,0,0,0.6726795,0,0,1,0,1,0,0
40.25,0.313412,0,0,0.54625575,0,0,0,0.6068105,1.016997,0,0,0,0,0,0,0.5,0,0,0,0
78,0,0,0.9979895,0,0,0,0.6325795,0.5850065,0.669854,0,0,0.6466635,0.5925815,0,1,1,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.6666666666667,0,0,1.3509265,0,0.900658,0,0.788435,1.441495,1.46438,0,0,0,4.474005,0.480044,0,1,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1.02367,0.828266,0,0.3242075,0,0,0,0.3422925,0,0,0,0.722485,0,0,0,0.5,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.75,0,0.2547675,0.294735,0,0.2537395,0,0,0.814938,1.230755,0,0,0.72616475,0,0,0,1,0,0,0,0
4,0.3383405,0.9121165,0,0.8459405,0,0,0,0.2674775,0,0.6849375,0,0.9610785,4.06925,0.598672,0,0,0,0,0,0
56,0,0,0,0,0,0.8760815,0,0,0.6653945,0,0,1.21743,2.19678,0,0,0,1,1,0,0
13.3333333333333,0.3226005,0,0.6238485,0,0,0.899952,0,0.538197,0.707074,0,0,0.619043,2.147535,0,0,0,0,0,0,0
39.3333333333333,0.9664775,0,0.66249,0,0,0.792827,0,0,0.656652,0.772087,0,0,0.6985305,0,0,0,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.5,0,0,0,0,0,0.1504275,0.1255485,0,0.8484875,0,0,0.61140575,0,0,0,0,0,0,0,1
27.25,0,0,0,0,0,0,0,0,0.514375,0.6575305,0,0,1.150095,0,0,1,0,1,0,0
70,0,0,0.826349,0,0.7928165,0.817838,0.6275505,0.841002,1.10421,0,0.5193095,0,2.42913,0,0,1,0,1,0,0
89,0.682743,0,1.47365,0,0,0.799482,0,0.531136,0,0,0,0,1.14845,0,0,1,1,0,0,0
23,0,0,0,0,0.588455,0,0.547681,0.518581,0.998302,0,0,0.531907,1.50025,0,0,1,1,0,0,0
37.6666666666667,0.742932,0,0,0,0,0.7732215,0,0,0,0,0,0,0.5648715,0,0,1,0,0.5,0,0
23.0526315789474,1.50203,1.11576,0,0,0,0.583615,0,0,0,0,0,0,1.47288,0,0,0,1,1,0,0
27.1666666666667,0,0,0,0,0,0.5931735,0.42968425,0.294952,0.8814035,0,0.2642925,0,0.63291,0,0,0.25,0,0.5,0,0
48.4,0,0,0,0,0.7826765,0,0.974348,0.8869565,1.3489975,0,0,0.62441325,0,0,0,1,0,0,0,0
12.6,0.9218245,0.7109735,0,0.747215,0,0.2915665,0.45074,0.70304,0.7713035,0,0,0.534552,0,0,0,1,0,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.5,0.3296425,0.891262,0.7309625,0,0.687221,0.31931975,0.62576,0.6842435,1.2785405,0.270371,0,0.2795505,1.47776,0.14473075,0.5,0.5,0.5,0.5,0,0
8.5,0.802275,0.3068575,0.8911075,0.33049,0.851958,1.1743855,1.12472,0.547675,1.452187,0.40535725,0.2693575,0,0.56255,0,0.5,1,0.25,1,0,0
8,0,0,0.9297905,0,0,0.7672595,0.6492455,0,0.8805175,0.743302,0.582449,0,0,0,1,0.5,0,0,0,1
21,0,0,0.619857,0,0,0.567298,0,0,0.845033,0,0,0.672255,1.3264,0,0,1,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0.595735,0,0.28039125,0.13011325,0,0.649015,0.2975235,0.81594125,0.6895905,0,0.2555665,0.64227025,0.1316965,0,0,1,0,1,0,0
17,0,0.13232925,0,0,0.2713525,1.319893,0,0.456061,0,0.2616305,0,0.832617,2.808745,0.12987325,0.75,1,0.25,0,0,0
22.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.3375355,0,0,0,0,1,0,0
18.25,0.3295355,0,1.085149,0,0,0.5213,0,0,0,0.293769,0,0,1.558435,0,0.5,0,0,1,0,0
20.8,0.55439125,0,0.13316375,0,0,0,0.2043025,0,0.6491085,0.13337225,0.175496,0,0.6103825,0,0,0.5,0.5,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1.16699,0,0,0,0,0,0,0,0,1.330495,0.6863755,0,1.52754,0,0,0,0,0,0,0
5,0.878049,0,0.856222,1.024793,0,0.2625365,0,0,0,0.5635855,0,0.281443,1.85208,0,0,0,0,0,0,0
49.4,0.2513205,0.3122995,0,0,0,0,0.15223225,0.565349,0.608619,0.12812075,0,0.619418,0.3179115,0,0,0,0,0,0,0
3.5,0.763903,0.497082,0.868275,0.2759565,0,0,0.1394395,0.5477275,0.38595825,0.1438485,0.743978,0.45132525,0.5709075,0,0.75,1,0.25,0.5,0,0
28.5,0.7926845,0,0.929583,0,0,0,0,0,0.3991575,0.413617,0.382259,0.73936725,1.7491625,0,0.5,0,1,0.75,0,0
20,0.4076045,0,0,0.795615,0.2907355,0.344497,0.346473,0.985554,0,0.395389,0,0,0.955324,0,0,0.5,0,1,0,0
25.6666666666667,0.9404025,0.8249915,1.0578,0,0,0,0.533983,0.609259,0.256281,0,0,0,0,0,1,1,0,0,0,0
45,0.3658,0.6092725,0.12871075,0,0.17043775,0,0.1536495,0.24819625,1.0556905,0,0.14106125,0.58435825,0,0,0,0.75,0,0,0,0
