duration,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
18.7923076923077,0,0,0.58765425,0,0,0.48867375,0,0,0,0,0,0.50260575,0.9115115,0,0,0,0,0,0,0
22.9120879120879,0,0.2703315,0.53,0,0,0,0,0.262492,0.595521,0,0,0.532693,0.800731,0,0.5,0,0,0,0,0.5
17.3924050632911,0.55885,0.670752,0,0,0,0.58828,0,0.5205305,0.505294,0,0,0.670399,1.00525,0,0,0,0,0,0,0
10.5454545454545,0,0.631711,0.337574,0,0,0.6267915,0.409466,0.727965,0.976227,0,0,0.511562,0.62406,0,1,0.5,0.5,0,0,0.5
19.8461538461538,0,0.55526775,0,0,0,0,0,0,0.39802125,0,0,0.545531,0,0,0,0,0,0.25,0,0
15.0857142857143,0.653548,0.3501605,0.714632,0,0,0,0,0.285552,0,0,0,0.7260885,0.62408,0,0,0,0,0,0,0
18.8695652173913,0,0,0.744355,0,0,0,0,0.609259,0.570136,0.559802,0,0,1.27626,0,0,0,0,1,0,0
17,0.679107,1.17383,0.792749,0,0,1.4084,0,0,0,0,0,1.01845,0,0,1,0,1,1,0,1
15.375,0.14391975,0,0.894923,0,0,0.452389,0,0.6006955,0.27230025,0,0,0.90731125,0.78879325,0,0,0,0,0,0,0
13.88,0,0,0.58212,0,0,0,0,0,0.2667985,0,0,0.533341,0.84222,0,0,0,0,0,0,0
14.875,0.5730455,0.88446375,0.529008,0,0,0.2830275,0,0,0.23749425,0,0,0.2696685,0.79701225,0,0,0.25,0,0.25,0,0
12.4,0.811858,0.56087,0,0,0,0,0.589747,0.731463,0,0,0,1.26275,0.620471,0,1,0,1,0,0,0
11.3888888888889,0,0,0,0,0,0.5479335,0,0,0.738697,0,0,0.70419675,1.04747,0,1,0,0,0,0,0
12.2,0,0,0,0.669516,0,1.0763,0,0,0.906004,0,0,0.618233,0,0,0,0,0,0,0,0
26.75,0,0,0.4863475,0,0,0.57728575,0.4503885,0.668952,0.442841,0.39251825,0,0.79839075,1.51489875,0,0,0,0,0.5,0,0.25
19.7333333333333,0,0.276988,0.528173,0,0,0,0,0.576037,0,0,0,0,0,0,0,0,0,0,0,0
20.8611111111111,0.60478225,0.68810575,0,0,0.2940765,0,0.64748075,0.654209,0.943031,0,0,0.84513225,1.020849,0,0,0.5,0.25,0,0,0
12.4285714285714,0.9842245,0.540252,0.914668,0.64848675,0,0.13503975,0,0,0.447432,0.301325,0,0.77545475,1.0506925,0,0,0,0,0,0,0
21.3,0.68996675,0.16643875,0.38793975,0.69789125,0,0,0,0.1653715,0.13633075,0.125847,0,0,0,0,0,0,0,1,0,0
