duration,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
11.0490196078431,0.45614175,0.272516,0.49515475,0,0,0.27816825,0,0.39048825,0.6355445,0,0,0.528799,0.87415325,0,0,0,0.5,0,0,0
11.4827586206897,0.6174715,0.41195175,0.5846845,0,0,0,0.2641495,0.536115,0.59467675,0,0,0.452379,0.78494775,0,0,0,0.5,0,0,0
13.3921568627451,0.6408215,0.5720975,0.525038,0.3918485,0,0.14637625,0,0,0.29007425,0,0,0.6801735,0.6341445,0,0,0,0,0,0,0
7.76923076923077,0.704426,0.4721725,0.826178,0.291448,0,0,0,0.35922425,0.49317575,0,0,0.4690605,0.56792,0,0.5,0,0.75,0,0,0
17.5,0,0.13411025,0,0,0,0,0,0.5551495,0.69510075,0,0,0.6621225,0.80196,0,0,0,0.5,0,0,0
11.1182795698925,0.772032,0.621905,0.639477,0,0,0.4112985,0,0.2504885,0.618874,0,0,0.515192,0.724431,0,0,0,0.5,0,0,0
9.93939393939394,0.679324,0.7739985,1.0770225,0.559959,0,0.544693,0,0,0,0,0,0,0.965444,0,0,0,0,0,0,0
12.8484848484848,0.623901,0,0.680282,0,0,0,0.26417,0.5547055,0.502215,0.2722885,0,0.5920575,0.825255,0,0,0,0,0,0,0
16.3,0.6204325,0.522194,0.6474255,0.128074,0,0.416845,0,0.1589905,0.83677875,0,0,0.710418,0.7183065,0,0,0,0.25,0,0,0
11.936170212766,0,0.432727,0,0.606281,0,0,0,0.58189,0.676895,0,0,0.417251,0.8783925,0,0,1,0,0,0,0
23,0.6312815,0.549591,1.07262,0,0,0.66212325,0,0,0,0.4351335,0,0,2.37717,0,0.5,0,1,0.75,0,0
8.33333333333333,0,0.8113975,0,0.3013595,0,0.271616,0.449944,0.47621025,0.57912425,0.5568875,0,0.26812875,0.7371505,0,0,0.25,1,0,0,0
17.5625,0,0,0.27769175,0,0,0.3057325,0,0,0.6648985,0.12583875,0,0.61282,0.72729,0,0,0,1,0,0,0
18.3333333333333,0,1.1994,0.984054,0,0,0,0,0,1.1044815,0,0,0.6450955,0,0,0,0,0,0,0,0
19.2142857142857,0.27081,0.74689325,0,0.5382935,0,0.75019175,0,0.61677325,0.70884625,0,0,0.6382665,0.49609625,0,0,0,0,1,0,0
13.4444444444444,0,0.259745,0.692592,0,0,0.2621035,0,0.574677,0.818471,0,0,0,0.8775185,0,0,0,0,0,0,0
14.7692307692308,0.537602,0.73404225,0,0.8107415,0,0,0,0,0.58096175,0.505157,0,0.16210375,0.67396925,0,0,0,0,0,0,0
7.33333333333333,0.859357,0.2576875,1.29668,0,0,0.511823,0,0,0,0,0,0.739547,0.689356,0,1,0,1,0.5,0,1
22.1666666666667,0.164846,0,0.3526805,0.2609365,0,0,0,0.67235375,0,0.27334125,0,0,1.50414,0,0,1,0.5,1,0,0
14.5,0.266412,0.4608115,1.1750905,0.65058725,0,0.41403525,0,0.20794075,0.635573,0.40863675,0,0,1.2317575,0,0,0.75,0.5,0,0,0
31,0,0.722842,0,0.71191,0,0.66649,0,0.283716,1.00119,0,0.5502515,0.5246265,1.801915,0,0,0,0,0.5,0,0
14.2307692307692,0,0.494047,0.7447835,0,0.595941,0,0.621837,0.916652,0.879825,0,0,0,1.21523,0,0,1,0.5,0,0,0
21.625,0.3580105,0,0,0.32340225,0,0.40302325,0,0.2639005,0,0.20767675,0,0.698364,1.429275,0,0,0,1,0,0,0
30,0,0.562791,1.424385,0.634279,0.7687275,1.51981,0.739953,0.948141,1.23968,0,0.7328985,1.250715,0,0,1,1,1,1,0,1
8.08333333333333,0,0,0,0.698703,0,0.72554525,0.26943175,0.5848085,0.42115825,0,0,0.37525175,0.815529,0,0,1,0.25,0,0,0
29.6,0.92625875,0.7999755,0.713602,0,0,0.575951,0,0,0.62169925,0,0,0.5449375,0,0,0.25,0,0,0.5,0,0
7.25,0.40348125,0.14460625,0,0.6642575,0,0.15037025,0.22012775,0.128957,0,0.15241925,0,0,0.66497,0,0.75,0.25,0.5,0,0,0.5
11.625,0.82228425,0.9057715,0,0.43712375,0.15492825,0.4289965,0.5724705,0.414045,0.81954925,0,0,0.430449,0.879807,0,0,0.25,1,1,0,0
16.5952380952381,0.7548745,0.610082,0.7298295,0,0,0.5261455,0,0.6091065,0.69930225,0,0.58135525,0.788059,1.09489,0,0,1,0,0,0,0
10.6666666666667,1.01126175,1.059345,0.65911225,0.6460775,0,0,0,0.62954675,0.3509135,0.12885125,0,0.882372,1.054255,0,0,0,0.25,0,0,0
12.125,0.2860045,0,0,0.9641555,0,0,0.29158975,0.14975875,0.2697845,0.467125,0,0.18180925,0.474562,0,0,0.5,0,0,0,0
16.25,1.15671925,0.96748125,0.586619,0.440584,0,0.99572525,0,0.65659875,1.0642525,0.678893,0,0.6536065,1.4787,0,0,1,0.5,0,0,0
