uniquewords,Repetitions
PT:PRO1SG,2121
G:WELL,1812
PT:PRO3SG,1297
PT:,1000
GOOD,592
PT:LOC,549
PT:PRO2SG,527
PT:DET,499
SAME,430
LOOK,335
WHAT,294
INDECIPHERABLE,256
RIGHT,228
G:HEY,218
NO,196
G:ERM,194
BUT,184
NOW,182
THINK,174
PT:POSS1SG,170
TRUE,165
NOTHING,162
GO-TO,156
SIGN,153
GO,152
PT:PRO3PL,152
BAD,147
MOVE,144
SAY,143
WANT,141
HAVE,140
KNOW,139
ONE,138
WHY,138
PAST,137
WORK,129
PT:POSS3SG,127
BEEN,125
FROM-TO,124
DEAF,118
PT:LBUOY,116
HUMAN,109
NEXT,108
PT:PRO1PL,104
UNKNOWN,104
MEANING,103
SOME,103
TIME,103
FEEL,102
REMEMBER,101
ALL,94
FINISH,92
TWO,90
AREA,88
CHANGE,87
GO-IN,86
CAN,85
WILL,83
YEAR,83
CHILD,82
SCHOOL,77
DISAPPEAR,76
DRINK,76
PARTNER,75
RANKING,75
OVER-TIME,74
DIFFERENT,72
MUST,70
YES,67
HARD,65
TYPICAL,65
MANY,64
AGAIN,63
G:THAT-IS-ALL,63
KNOW-NOT,63
LBUOY,63
START,63
BE,62
G:RIGHT,62
HOW,62
CONTINUE,61
FLOCK,61
BIG,59
SPOUSE,59
HOUSE,58
WITH,58
EXCITED,57
FATHER,57
MONEY,57
G:DISMISS,56
CAN-NOT,55
NEW,54
WHERE,54
EXPLAIN,53
HAPPEN,52
HOME,52
NOT,52
PEOPLE,52
PT:POSS2SG,52
SLEEP,52
AND,51
HEARING,51
MOTHER,51
SURPRISE,51
TEACH,51
WHO,51
DISCUSS,50
PERSON,50
BEST,49
MEET,49
PERHAPS,49
PT:BODY,49
ENGLAND,48
OLD,48
THREE,48
WHEN,48
BEFORE,47
N:TWO,47
REGULAR,47
GIRL,46
N:ONE,46
THEATRE,46
FLAT-SURFACE,45
MAYBE,45
NICE,45
SHOULD,45
SINCE,45
GIVE-INFORMATION,44
NOT-YET,44
PERFECT,44
TALK,44
HOLIDAY,43
IF,43
MAKE,43
NAME,43
VEHICLE,43
ADD,42
INTERVAL,42
NIGHT,42
AT,41
ONLY,41
HAPPY,40
FOREIGN,39
FOUR,39
FROM,39
PAY,39
UNIT,39
WEEK,39
LONDON,38
PARENTS,38
THROUGH,38
ALRIGHT,37
ARRIVE,37
DO,37
LITTLE,37
LIVE,37
WALK,37
REDUCE,36
ROOM,36
SN:UNKNOWN,36
STAY,36
FANTASTIC,35
GIVE,35
HELP,35
LOVELY,34
PLAY,34
BUY,33
MAN,33
NEVER,33
O,33
SELF,33
CLM:PERSON-MOVE,32
HALF,32
OWN,32
TOUCH,32
ABOUT-NUMBER,31
BACK,31
BETTER,31
GROW-UP,31
PARTY,31
YOUNG,31
BOOKED,30
EAT,30
FIVE,30
FULL,30
OPERATE,30
AT-LAST,29
BOSS,29
DAY,29
HAVE-A-LOOK,29
MONTH,29
WEEK-TWO,29
WHICH,29
BASE,28
DRIVE,28
LIKE,28
STUBBORN,28
THING,28
TRY,28
WAIT,28
MORNING,27
OVER,27
PT:LBUOYPL,27
READY,27
WIN,27
FORGET,26
GROUP,26
NEAR,26
NEXT-YEAR,26
OF-COURSE,26
PRAY,26
TIRED,26
FROM-THEN-ON,25
LAST,25
LAUGH,25
LEAVE,25
MEAL,25
PLAN,25
TRAIN,25
ASK,24
BLACK,24
CLOTHES,24
DIE,24
DOCTOR,24
LEAVE-IT-BE,24
NUMBER,24
SPREAD,24
TICKET,24
WALK-AROUND,24
ALWAYS,23
FUTURE,23
G:CA:HOLD-OBJECT,23
MOST,23
POUND,23
PREFER,23
PUB,23
RELATIONSHIP,23
WEDNESDAY,23
CHOOSE,22
DEAF-AND-DUMB,22
INTERPRETER,22
INVOLVE,22
LATER,22
LBUOY-TWO,22
PLUS,22
SISTER,22
BECAUSE,21
FEW,21
LINK,21
ON,21
PT:DETPL,21
RELAX,21
RISE,21
SN:MANCHESTER-UNITEDFS:M-MANCHESTER,21
STADIUM,21
SUBTITLES,21
TBUOY,21
WRITE,21
ACCOMMODATION,20
AGREE,20
BALL,20
DELAY,20
FAMOUS,20
GOAL,20
GRAB,20
HOPE,20
OR,20
PICTURE,20
VISIT,20
AMERICA,19
ANGRY,19
DAUGHTER,19
EIGHT,19
EMPTY,19
