uniquewords,Repetitions
PT:PRO1SG,785
G:WELL,617
PT:PRO3SG,439
PT:,381
GOOD,272
PT:LOC,242
SAME,160
PT:DET,156
PT:PRO2SG,156
LOOK,141
INDECIPHERABLE,97
RIGHT,92
GO-TO,87
G:HEY,84
NO,84
TRUE,84
WHAT,83
MOVE,82
SIGN,77
G:ERM,76
ONE,68
BUT,67
PT:POSS1SG,62
THINK,60
GO,59
TIME,56
BEEN,55
BAD,53
NOW,52
SAY,52
DEAF,51
NOTHING,51
OVER-TIME,50
AREA,49
KNOW,49
PT:PRO1PL,48
START,48
WHY,47
THEATRE,46
TWO,46
PARTNER,44
NEXT,43
PAST,43
PT:PRO3PL,42
WORK,40
SOME,39
HAVE,38
WANT,38
YES,38
FINISH,36
ALL,35
FROM-TO,35
WITH,35
DISAPPEAR,34
GO-IN,34
PT:LBUOY,34
WILL,34
FLOCK,33
WHEN,33
PT:POSS3SG,32
BE,31
MEET,29
REMEMBER,29
FLAT-SURFACE,28
BEST,27
BIG,27
EXPLAIN,27
FATHER,27
HEARING,27
SLEEP,27
G:THAT-IS-ALL,26
RANKING,26
UNKNOWN,26
HUMAN,25
MANY,25
TYPICAL,25
DRINK,24
FEEL,24
HAPPY,24
HOLIDAY,24
MUST,24
CAN,23
CHILD,23
DO,23
FANTASTIC,23
MEANING,23
WEEK,23
YEAR,23
ARRIVE,22
CHANGE,22
ENGLAND,22
EXCITED,22
NOT-YET,22
PRAY,22
SHOULD,22
SN:UNKNOWN,22
FIVE,21
G:DISMISS,21
HARD,21
INTERVAL,21
MOTHER,21
NEAR,21
PERFECT,21
BASE,20
SCHOOL,20
WHERE,20
WHO,20
ABOUT-NUMBER,19
DRIVE,19
HOW,19
NOT,19
THREE,19
BEFORE,18
BOSS,18
DEAF-AND-DUMB,18
DIFFERENT,18
FOUR,18
FROM-THEN-ON,18
SELF,18
SN:MANCHESTER-UNITEDFS:M-MANCHESTER,18
STAY,18
WEEK-TWO,18
WIN,18
AT,17
AT-LAST,17
HOUSE,17
MONEY,17
N:ONE,17
DELAY,16
G:RIGHT,16
GIRL,16
INVOLVE,16
ITCH,16
LITTLE,16
LONDON,16
N:TWO,16
NAME,16
NICE,16
NIGHT,16
SINCE,16
TALK,16
TIRED,16
ADD,15
BUY,15
CONTINUE,15
GOAL,15
HAPPEN,15
ONLY,15
PAY,15
PLUS,15
PT:POSS2SG,15
REDUCE,15
SUBTITLES,15
BINGO,14
CAN-NOT,14
DAY,14
DECORATE,14
GIVE-INFORMATION,14
HOME,14
LBUOY,14
MONTH,14
NEW,14
PARTY,14
THROUGH,14
UNIT,14
AEROPLANE,13
AMERICA,13
BALL,13
BIRMINGHAM,13
BOOKED,13
BORN,13
BUILD,13
FAMOUS,13
HELP,13
ILL,13
INTERPRETER,13
KNOW-NOT,13
LAUGH,13
OLD,13
PEOPLE,13
PUB,13
SPREAD,13
TEXTURE,13
AND,12
BORROW,12
CENTRE,12
FULL,12
LIVERPOOL,12
LOSE-GAME,12
O,12
OVER,12
PRACTISE,12
SURPRISE,12
YOUNG,12
AGAIN,11
AGREE,11
CHOOSE,11
CLOTHES,11
COMPANY,11
FEW,11
GIVE,11
GRIP,11
HALF,11
HOPE,11
LIVE,11
LOVELY,11
NEWSPAPER,11
PERHAPS,11
PREGNANT,11
REALLY,11
REGULAR,11
RELAX,11
SUE,11
SUMMON,11
VEHICLE,11
WALK,11
ACT,10
ANGRY,10
BABY,10
CONTROL,10
DIE,10
DISCUSS,10
EIGHT,10
FROM,10
G:CA:FINGERSPELL,10
G:CA:HOLD-DRINK,10
GRAB,10
HOT,10
LATER,10
LEARN,10
MAYBE,10
PBUOY,10
PLAN,10
PT:BODY,10
SISTER,10
TEXT-TO,10
THING,10
WAIT,10
WEDNESDAY,10
WIGHT,10
