uniquewords,Repetitions
PT:PRO1SG,426
G:WELL,284
PT:PRO3SG,172
GOOD,119
PT:LOC,119
PT:,102
SAME,71
WHAT,66
PT:PRO2SG,63
PT:POSS1SG,56
LOOK,53
PT:DET,52
BAD,44
THINK,42
NOTHING,40
MOVE,39
PT:PRO3PL,38
WORK,36
SAY,35
TRUE,35
GO,34
NO,34
RIGHT,34
PT:PRO1PL,32
GO-IN,30
PAST,30
PT:POSS3SG,29
WHY,28
FROM-TO,27
HOUSE,27
SPOUSE,27
UNKNOWN,27
BE,26
INDECIPHERABLE,26
TWO,26
BUT,25
G:HEY,25
KNOW,25
NOW,25
ONE,25
PT:LBUOY,25
WANT,25
HUMAN,24
PARENTS,24
START,24
DEAF,23
FINISH,23
OVER-TIME,23
EXCITED,22
FLOCK,22
HAVE,22
NEW,22
VEHICLE,22
FEEL,21
GO-TO,21
YEAR,21
LIVE,20
BEEN,19
CHILD,19
FRIEND,19
IF,19
LEAVE,19
SHOUT,19
ASIAN,18
DRINK,18
HOME,18
MANY,18
NEVER,18
POUND,18
REMEMBER,18
ALL,17
CAN,17
CLM:PERSON-MOVE,17
FOREIGN,17
SCHOOL,17
FS:W-WEST,16
MOTHER,16
TEACH,16
BEFORE,15
GROUP,15
MEANING,15
NEXT,15
PERSON,15
TIME,15
WEEK,15
WILL,15
AREA,14
ARRIVE,14
DISCUSS,14
HALF,14
HAPPEN,14
LBUOY,14
O,14
SIGN,14
SLEEP,14
WHERE,14
BABY,13
BEST,13
CONTINUE,13
DISAPPEAR,13
EXPLAIN,13
FATHER,13
HOUR,13
REGULAR,13
SPECTACLES,13
THREE,13
WITH,13
WRITE,13
ADD,12
FROM,12
G:ERM,12
KNOW-NOT,12
PEOPLE,12
UNIT,12
YES,12
DRIVE,11
GIRL,11
HEARING,11
LATER,11
LOOK-AFTER,11
MAKE,11
MUST,11
N:TWO,11
NEXT-TO,11
PARTNER,11
PROBLEM,11
PT:POSS2SG,11
RANKING,11
SINCE,11
SOME,11
STADIUM,11
TALK,11
TICKET,11
WHO,11
AND,10
BUY,10
CHECK,10
ENGLAND,10
G:THAT-IS-ALL,10
GIVE,10
KICK,10
MEET,10
MONEY,10
NIGHT,10
OLD,10
OTHER,10
PT:BODY,10
THROUGH,10
WALK,10
AGAINST,9
ALRIGHT,9
BACK,9
BIG,9
BORN,9
BRING,9
CHANGE,9
CLOTHES,9
DREADFUL,9
G:RIGHT,9
GIVE-INFORMATION,9
GROW-UP,9
HARD,9
LONDON,9
MEAL,9
PARTY,9
PLAY,9
REDUCE,9
RISE,9
SIX,9
STAY,9
SURPRISE,9
TOILET,9
TRY,9
WAIT,9
AGAIN,8
DAUGHTER,8
DIFFERENT,8
DOG,8
FIRST,8
FORGET,8
FROM-THEN-ON,8
G:DISMISS,8
