uniquewords,Repetitions
PT:PRO1SG,496
G:WELL,249
GOOD,208
PT:PRO3SG,194
PT:LOC,148
MOVE,85
SAME,78
WHAT,75
BAD,71
LOOK,70
OVER-TIME,64
PT:POSS1SG,61
TRUE,58
NO,54
WITH,52
SIGN,50
SPOUSE,46
HUMAN,45
WORK,45
START,41
DEAF,40
GO-IN,36
YES,36
ARRIVE,33
PT:PRO2SG,33
WHY,33
BABY,32
THINK,32
BEEN,30
DIFFERENT,30
GO,30
MOTHER,30
HAVE,29
ONE,29
SAY,29
TALK,28
WANT,28
YEAR,28
HOME,27
TIME,27
PARENTS,26
PT:PRO3PL,26
FATHER,25
NOT-HAVE,25
UNIT,25
GO-TO,24
DOG,23
EXPLAIN,23
TWO,23
BORN,22
CHILD,22
MEET,22
AT-LAST,21
BEFORE,21
FAMILY,21
FROM-TO,21
KNOW,21
FINISH,20
HOUSE,20
PAST,20
PT:POSS3SG,20
WEEK,20
WHERE,20
BE,19
SINCE,19
WHEN,19
ABOUT-NUMBER,18
ASIAN,18
DISCUSS,18
G:HEY,18
INTERPRETER,18
INVOLVE,18
PT:PRO1PL,18
TEACH,18
VEHICLE,18
HEARING,17
NOTHING,17
REMEMBER,17
RIGHT,17
SCHOOL,17
ALRIGHT,16
DRIVE,16
FRIEND,16
G:DISMISS,16
GIRL,16
HALF,16
HAPPY,16
NEW,16
PT:LBUOY,16
SHOUT,16
SLEEP,16
AREA,15
BUT,15
EXCITED,15
HOSPITAL,15
LEAVE,15
TOUCH,15
YOUNG,15
CAMERA,14
COMMUNITY,14
GIVE,14
GROW-UP,14
HOW,14
MEANING,14
OTHER,14
STAY,14
TENT,14
WALK,14
ALL,13
FIVE,13
NAME,13
PT:BODY,13
SPECTACLES,13
APPROACH,12
BOY,12
BREAK,12
CHECK,12
DAUGHTER,12
DEAF-AND-DUMB,12
DOCTOR,12
FLOCK,12
HAPPEN,12
KNOW-NOT,12
LATER,12
NEWCASTLE,12
WRITE,12
FEEL,11
LOVELY,11
NEXT-TO,11
NOW,11
PT:,11
SPEECH,11
WAIT,11
BELFAST,10
BIG,10
FROM-THEN-ON,10
G:CA:CAT-MOVES-POSITION,10
GIVE-INFORMATION,10
GO-TO-AND-FRO,10
HOUR,10
INDEPENDENT,10
INSERT,10
LIVE,10
NEVER,10
NEWSPAPER,10
O,10
OPERATION,10
PREGNANT,10
PROBLEM,10
RUN,10
SCALES,10
SHOULD,10
SIX,10
AGE,9
BEST,9
CHANGE,9
EAT,9
HERD,9
LEARN,9
NIGHT,9
PLAY,9
PT:DET,9
SOME,9
TAKE-OFF,9
THROUGH,9
BAN,8
CLUB,8
COUGH,8
DARTS,8
DREADFUL,8
FALL,8
FBUOY,8
FIRST,8
FOR,8
G:ERM,8
ILL,8
INDECIPHERABLE,8
LAST,8
LOOK-AFTER,8
OLD,8
PLAN,8
RANKING,8
SN:MARY-HAREFS:M-MARY,8
SURPRISE,8
TELEVISION,8
