uniquewords,Repetitions
PT:PRO1SG,723
G:WELL,571
PT:PRO3SG,380
PT:,239
GOOD,222
PT:PRO2SG,143
SAME,137
PT:LOC,123
WHAT,121
PT:DET,95
LOOK,89
BAD,74
SIGN,73
NOW,72
INDECIPHERABLE,65
TRUE,65
PT:POSS1SG,60
G:ERM,57
MOVE,55
NO,54
PT:PRO3PL,53
DIFFERENT,50
WANT,49
HAVE,48
WHY,47
BUT,46
KNOW,45
RIGHT,44
THINK,44
CHANGE,43
GO,42
PT:POSS3SG,42
REMEMBER,42
YES,42
PAST,41
WORK,40
SAY,39
ONE,37
OVER-TIME,37
YEAR,37
FROM-TO,36
G:HEY,36
HUMAN,35
MEANING,35
ALL,32
FATHER,32
NEXT,32
DEAF,31
GO-IN,31
NOTHING,30
CONTINUE,29
FEEL,29
GO-TO,29
MOTHER,28
SOME,28
UNKNOWN,28
BEEN,27
CAN,27
ALRIGHT,26
PARENTS,26
UNIT,26
WHERE,26
WITH,26
G:DISMISS,25
KNOW-NOT,25
SCHOOL,25
TIME,25
NAME,24
FAMILY,23
G:RIGHT,23
HOUSE,23
PT:LBUOY,23
TALK,23
TWO,23
BLACK,22
HAPPEN,22
HOW,22
MUST,22
PEOPLE,22
SLEEP,22
HOME,21
PERHAPS,21
PT:POSS2SG,21
SINCE,21
START,21
DISCUSS,20
DRINK,20
FINISH,20
SURPRISE,20
CHILD,19
OLD,19
AGAIN,18
ARRIVE,18
HAVE-A-LOOK,18
NICE,18
PT:PRO1PL,18
AND,17
AREA,17
DISAPPEAR,17
GIVE-INFORMATION,17
HAPPY,17
LAST,17
MONEY,17
SPOUSE,17
TENT,17
TYPICAL,17
ABOUT-NUMBER,16
BIG,16
CAN-NOT,16
EXPLAIN,16
FS:B,16
GIRL,16
OWN,16
LOVELY,15
ONLY,15
REGULAR,15
TEACH,15
WAIT,15
ADD,14
DO,14
FLOCK,14
GIVE,14
INTERPRETER,14
NEW,14
READY,14
SHOULD,14
WILL,14
FAVOUR,13
FOREIGN,13
FROM,13
HALF,13
MAKE,13
RANKING,13
STAY,13
TOUCH,13
WHEN,13
YOUNG,13
AT-LAST,12
BABY,12
BEST,12
COMPUTER,12
DAMAGE,12
DOG,12
ENGLAND,12
FOUR,12
IF,12
INVOLVE,12
MAN,12
NIGHT,12
NUMBER,12
SN:MIDDLESBROUGHFS:MIDDLESBROUGHMDD,12
WHICH,12
ASK,11
BECAUSE,11
BEFORE,11
BUY,11
CHOOSE,11
CLM:TWO-PEOPLE-MOVE,11
EAT,11
FORGET,11
FS:BSL,11
GROW-UP,11
LANGUAGE,11
LIKE,11
LONDON,11
LOOK-AFTER,11
NEVER,11
PARTNER,11
ROOM,11
TBUOY,11
ANGRY,10
APPROACH,10
CLL:PERSON,10
G:CA:CAT-MOVES-POSITION,10
HEARING,10
HOLIDAY,10
LAUGH,10
LEAVE-IT-BE,10
LIVE,10
MAYBE,10
SN:UNKNOWN,10
STUBBORN,10
THERE,10
THROUGH,10
ANIMAL,9
BE,9
BETTER,9
BOSS,9
BOY,9
DEAF-AND-DUMB,9
FIVE,9
G:THAT-IS-ALL,9
GO-TO-AND-FRO,9
LEAVE,9
LINK,9
MANY,9
MORNING,9
NOT-YET,9
O,9
OF-COURSE,9
PARTY,9
PERSON,9
RAIN,9
RELATIONSHIP,9
RISE,9
SPEECH,9
STRONG,9
SURROUNDINGS,9
TELEVISION,9
THREE,9
TICKET,9
WALK,9
WALK-AROUND,9
WELL,9
WHO,9
BACK,8
BIRTHDAY,8
COMMUNITY,8
CONCENTRATE,8
CONTROL,8
COUGH,8
EXCITED,8
FALL,8
FS:DVD,8
FULL,8
HARD,8
INFLUENCE,8
LITTLE,8
MINICOM,8
NEXT-YEAR,8
NOT,8
OTHER,8
PREGNANT,8
PT:POSS3PL,8
PUB,8
RUN,8
SPREAD,8
SUNDAY,8
TEN,8
VIDEO-CAMERA,8
ARRANGE,7
BASE,7
CLUB,7
COPY,7
COW,7
CULTURE,7
DIE,7
EMIT,7
FS:DO,7
HORRIBLE,7
LBUOY,7
MEET,7
OUT,7
PAINT,7
PERFECT,7
POETRY,7
PT:BODY,7
PT:DETPL,7
SATURDAY,7
SELF,7
SETTLE,7
SISTER,7
SIT,7
STADIUM,7
TAKE,7
TRY,7
VEHICLE,7
WEEK,7
WEEK-TWO,7
AT,6
BALL,6
BOOKED,6
CATCH,6
CLM:PERSON-MOVE,6
DEAF-CLUB,6
DOCTOR,6
