uniquewords,Repetitions
PT:PRO1SG,683
G:WELL,589
PT:PRO3SG,500
PT:,289
PT:LOC,213
PT:DET,205
PT:PRO2SG,198
GOOD,187
SAME,140
LOOK,122
WHAT,99
G:HEY,91
NO,78
INDECIPHERABLE,76
RIGHT,75
HUMAN,70
BUT,61
HAVE,61
THINK,60
SPOUSE,59
NOTHING,58
WORK,58
G:ERM,57
WANT,57
BEEN,54
DEAF,53
MOVE,53
PT:POSS1SG,53
PT:LBUOY,50
WHY,49
BAD,47
FROM-TO,47
GO,47
SAY,46
PT:PRO3PL,45
MEANING,44
NOW,44
PT:POSS3SG,44
CHILD,43
GO-TO,43
PAST,43
KNOW,41
FEEL,39
SIGN,39
TRUE,39
ONE,37
WITH,36
PT:BODY,35
SOME,34
TIME,34
FINISH,33
RANKING,33
SCHOOL,32
TEACH,30
YEAR,30
AGAIN,29
HARD,29
HOW,29
REMEMBER,29
LBUOY,28
OVER-TIME,28
GO-IN,27
CAMERA,26
DIFFERENT,26
HOME,26
OPERATE,26
KNOW-NOT,25
MEET,25
NOT,25
BEFORE,24
DISCUSS,24
G:THAT-IS-ALL,24
PT:PRO1PL,24
WILL,24
ALL,23
AREA,23
UNKNOWN,23
CAN,22
CAN-NOT,22
CHANGE,22
NEXT,22
PLAY,22
TALK,22
G:RIGHT,21
GROW-UP,21
VEHICLE,21
WALK,21
AT,20
EXCITED,20
EXPLAIN,20
HEARING,20
MUST,20
N:ONE,20
NEW,20
PERHAPS,20
PERSON,20
TOUCH,20
DOCTOR,19
G:CA:HOLD-OBJECT,19
GIRL,19
DISAPPEAR,18
EAT,18
G:DISMISS,18
INTERVAL,18
MAYBE,18
SURPRISE,18
TWO,18
BIG,17
DAUGHTER,17
MAKE,17
NOT-HAVE,17
AND,16
ARRIVE,16
HELP,16
MOTHER,16
SINCE,16
TYPICAL,16
BE,15
DRINK,15
FLAT-SURFACE,15
LOVELY,15
MAN,15
MONEY,15
ROOM,15
THREE,15
ALWAYS,14
AT-LAST,14
BACK,14
BETTER,14
G:CA:HIDING-BY-THE-WALL,14
GIVE,14
GIVE-INFORMATION,14
HAPPY,14
HEALTHY,14
HOSPITAL,14
LITTLE,14
LOW,14
N:TWO,14
OLD,14
PT:LBUOYPL,14
WALK-AROUND,14
WEEK,14
WHERE,14
WHO,14
YOUNG,14
FUTURE,13
HAPPEN,13
NIGHT,13
RUN,13
SHOULD,13
THROUGH,13
WHEN,13
WRITE,13
ALRIGHT,12
MANY,12
PAY,12
PICTURE,12
REGULAR,12
UNIT,12
ABOUT-NUMBER,11
ACCOMMODATION,11
ALLOW,11
ASK,11
COMMUNITY,11
HOUSE,11
INTERPRETER,11
LBUOY-TWO,11
PARTNER,11
PERFECT,11
PT:LOCPL,11
START,11
YES,11
BREATHE,10
CONTINUE,10
FATHER,10
FROM,10
G:CA:HOLD-COMPUTER-CONTROL,10
HALF,10
HOLIDAY,10
HOUR,10
MEAL,10
MONTH,10
MOST,10
STAY,10
STUBBORN,10
AUSTRALIA,9
DARTS,9
DAY,9
EIGHT,9
ESCAPE,9
G:CA:HOLD-FLAG,9
G:CA:HOLD-FOOD,9
LEARN,9
LEFT,9
MORNING,9
NAME,9
NEXT-YEAR,9
NICE,9
ON,9
PEOPLE,9
PLAN,9
REDUCE,9
SMOKE-CIGARETE,9
SUPPORT,9
THING,9
TITLE,9
ADD,8
ANESTHETISE,8
BABY,8
BOOK,8
BOY,8
DRIVE,8
FILM,8
IF,8
INDEPENDENT,8
KNOCK,8
LAST-YEAR,8
LEAVE-IT-BE,8
MINUTE,8
MOTORBIKE,8
NEVER,8
NEWSPAPER,8
NEXT-TO,8
NOT-YET,8
O,8
ONLY,8
OVER,8
PARENTS,8
PREFER,8
PROBLEM-NOT,8
RECOGNISE,8
RIGHTWARDS,8
SELF,8
SHOULDN,8
SIT,8
SPEECH,8
SURROUNDINGS,8
TRAIN,8
UNDERGROUND-TRAIN,8
