time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c,speaker_gender,listener_gender
2164,OF-COURSE,1,1,0.832232,1.43975,0,1.94977,0,0,0,0,0.589336,0,0.888051,0.654941,1.07231,1.6799,0,1,0,1,1,0,0,m,m
2165,OF-COURSE,1,1,0.837513,1.56974,0,1.01562,0,0,0.526218,0,0,0,0.58526,0,1.07602,0,0,1,0,1,1,0,0,m,m
2166,OF-COURSE,1,1,0.833781,1.75318,0,0,0.522196,0,0,0,0,0,1.18216,0.553754,1.20742,0,0,1,0,1,0,0,0,m,m
2167,OF-COURSE,1,1,0.76595,1.49995,0.666399,0,0.551948,0,0,0,0.824079,0,1.36298,0,0.814141,0.697925,0,1,1,1,0,0,0,m,m
2172,OF-COURSE,1,1,0.816647,1.96571,0,0.557535,0.85551,0,1.00917,0,1.19754,0,1.06625,0.658596,1.08569,0,0,1,0,1,0,0,1,m,m
2173,OF-COURSE,1,1,0.87705,1.64435,0,1.28067,0.659929,0,1.6357,0,0.680595,0,1.06677,0.981531,1.05088,0,0,1,0,1,0,0,0,m,m
2174,OF-COURSE,1,1,0.781168,1.66889,0.543622,2.69218,0.788479,0,2.28613,0,0,0.818431,0,0.784225,1.26204,0.589148,0,1,0,1,0,0,1,m,m
2175,OF-COURSE,1,1,0.75677,2.38578,0.756595,3.07649,0.794477,0,2.12048,0,0,0.871639,0,0.658287,0.952977,1.79197,0,1,1,1,0,0,1,m,m
2176,OF-COURSE,1,1,0.813194,1.87426,0,1.86997,0,0,0.916829,0,0.586098,1.52993,0,0.968299,1.20721,0.588188,0,1,1,1,1,0,0,m,m
5364,OF-COURSE,1,1,0.966004,0,0,0,1.18674,0,0,0,0,0,1.17285,0,0.756225,0,0,1,0,1,0,0,1,m,m
5365,OF-COURSE,1,1,0.911722,0,0,0,0,0,0,0,0,0,0.805567,0.772,1.72559,0,0,1,0,1,0,0,1,m,m
5389,OF-COURSE,1,1,0.905194,0,0.760966,1.37255,0,0,0,0,0,0,0,1.19578,2.2328,0,0,1,0,1,0,0,0,m,m
5392,OF-COURSE,1,1,0.857221,1.20679,1.43932,1.17493,0,0,1.31953,0,0,0,0.850412,0.774353,0,0,0,1,0,1,0,0,1,m,m
5393,OF-COURSE,1,1,0.812902,1.03651,1.41907,1.1163,0,0,0.675996,0,0,0,1.58521,0.860073,0.601578,0,0,1,0,1,0,0,1,m,m
5394,OF-COURSE,1,1,0.826207,0.759757,1.79666,0.943302,0,0,0,0,0,0,1.72978,0.746815,0.534662,0,0,1,0,1,0,0,1,m,m
5411,OF-COURSE,1,1,0.811174,1.13627,1.77868,0,0.516422,0,0.815246,0,0,0,1.46845,0,0,0,0,1,0,1,1,0,1,m,m
5412,OF-COURSE,1,1,0.818324,0,1.78597,0,0,0,0,0,0,0,1.61887,0,0.746368,0,0,1,0,1,1,0,1,m,m
5413,OF-COURSE,1,1,0.773278,0.850683,2.42626,0,0,0,0,0,0,0,1.1778,0.783011,0.635699,0.631031,0,1,0,1,1,0,0,m,m
6255,OF-COURSE,1,1,0.970397,0,0,0,0,0,0.825291,0,0,0,0.861182,0,0.665725,0,0,1,1,1,1,0,1,m,m
6256,OF-COURSE,1,1,0.962769,0,0,0,0,0,0.942697,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6257,OF-COURSE,1,1,0.882944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6258,OF-COURSE,1,1,0.971327,0,0,0,0.625182,0,0.771873,0,0,0,1.00081,0,0.590661,0.767771,0,1,0,1,0,0,1,m,m
6259,OF-COURSE,1,1,0.966761,0,0,0,0.684518,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6260,OF-COURSE,1,1,0.948511,0,0,0,0.689238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6261,OF-COURSE,1,1,0.952145,0,0,0,0.788164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6262,OF-COURSE,1,1,0.96259,0,0,0,0.946191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,m,m
6263,OF-COURSE,1,1,0.969527,0,0,0.60626,0.912444,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,m,m
6264,OF-COURSE,1,1,0.975468,0,0,0.552836,0.744633,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,m,m
6265,OF-COURSE,1,1,0.971722,0,0,0,0.855112,0,0,0,0,0,0.846311,0,0,0,0,1,0,1,1,0,1,m,m
6266,OF-COURSE,1,1,0.972185,0,0,0,0.63993,0,0.904674,0,0,0,1.33398,0,0.704822,0,0,1,0,1,0,0,1,m,m
6267,OF-COURSE,1,1,0.969122,0.613026,0,0.569403,0.652949,0,1.1082,0,0,0,1.20216,0,0.660354,0,0,1,0,1,0,0,1,m,m
6268,OF-COURSE,1,1,0.967029,0.617798,0,0,0,0,1.06616,0,0,0,1.4063,0,0.693557,0,0,1,0,1,0,0,1,m,m
6269,OF-COURSE,1,1,0.960425,0.792771,0,0,0,0,1.32302,0,0,0,1.49536,0,0.949156,0,0,1,0,1,0,0,1,m,m
6270,OF-COURSE,1,1,0.953893,0.623849,0,0.646523,0.575656,0,1.39074,0,0,0,1.28187,0,0.6725,0,0,1,0,1,0,0,1,m,m
6271,OF-COURSE,1,1,0.94609,0,0,0.625208,0.654122,0,1.27773,0,0,0,1.22301,0,0.851693,0,0,1,0,1,0,0,1,m,m
6272,OF-COURSE,1,1,0.92874,0,0,0.711779,0.705036,0,1.31022,0,0,0.726167,1.13873,0,0,0,0,1,0,1,0,0,1,m,m
6273,OF-COURSE,1,1,0.896234,0.811456,0.885775,0.720558,0.759264,0,1.31997,0,0,0.804656,1.22021,0.553843,0,0,0,1,0,1,0,0,1,m,m
6274,OF-COURSE,1,1,0.852747,1.51589,1.6965,0,0.835014,0,0,0,0,0,1.5696,0,0,0,0,1,0,0,0,0,1,m,m
6275,OF-COURSE,1,1,0.752197,1.75271,2.03417,0,0.547659,0,0,0,0,0,1.77855,0,0,0,0,1,0,0,0,0,1,m,m
6276,OF-COURSE,1,1,0.911159,0,1.16714,0.642205,0,0.663245,1.9647,0.780355,0.711394,0.714325,0.959473,0,0,0,0,0,0,1,1,0,1,m,m
6277,OF-COURSE,1,1,0.94814,0.58996,0.654649,1.01455,0.85199,0.568789,1.87461,0.574399,0.805555,1.18855,1.16302,0.862172,1.31771,0,0,1,0,1,0,0,1,m,m
6290,OF-COURSE,1,1,0.965666,0.787698,0.74799,0,0,0,1.25575,0,0.66145,1.04602,0,0,1.84453,0.532113,0,0,0,1,0,0,0,m,m
6291,OF-COURSE,1,1,0.960003,0.699197,0.871276,0,0,0,1.05486,0,0.808742,1.37756,0.619688,0,1.94618,0,0,0,0,1,0,0,0,m,m
6292,OF-COURSE,1,1,0.82159,1.92433,0,2.27042,0.769024,0,1.5269,0,0,1.61412,1.22398,0,1.79573,0,0,1,0,1,0,0,0,m,m
6294,OF-COURSE,1,1,0.927267,1.79746,1.16552,1.99185,0,0,0.723122,0,0,0,0,0,0,0,0.857683,0,0,1,1,0,1,m,m
6295,OF-COURSE,1,1,0.951694,0,0,1.31892,0,0,0.91624,0,0,0,0.884573,0,1.68,0.77086,0,1,0,1,0,0,1,m,m
6296,OF-COURSE,1,1,0.949997,0,0,1.38919,0,0,1.35513,0,0,0.541985,0.717927,0,0.983198,1.02292,0,1,0,1,0,0,1,m,m
6297,OF-COURSE,1,1,0.949132,0,0,1.16931,0,0,0.991117,0,0,0.859687,0.898443,0,1.06747,0.758698,0,0,0,1,0,0,1,m,m
6298,OF-COURSE,1,1,0.954404,0,0,1.01148,0,0,0.80152,0,0,0.965799,1.06171,0,0.903134,0.730257,0,1,0,1,0,0,1,m,m
