time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz,speaker_gender,listener_gender
15787,HAPPY,15787,0.858553,1,-54.6323,-212.281,1471.46,0.190342,0.69153,-0.123693,w,w
15788,HAPPY,15788,0.89708,1,-56.9618,-217.558,1477.93,0.130429,0.741878,-0.0792189,w,w
15789,HAPPY,15789,0.878999,1,-59.3537,-220.603,1469.17,0.0971125,0.760345,-0.0348551,w,w
15790,HAPPY,15790,0.890215,1,-60.545,-220.947,1446.1,0.0872145,0.78292,-0.0111578,w,w
15791,HAPPY,15791,0.888734,1,-59.6083,-214.753,1385.17,0.0803313,0.810102,0.00768591,w,w
15792,HAPPY,15792,0.863947,1,-60.8964,-212.899,1350.49,0.0477442,0.837955,0.0451054,w,w
15793,HAPPY,15793,0.79545,1,-61.9605,-212.641,1334.11,0.0323852,0.870572,0.0636782,w,w
15794,HAPPY,15794,0.751553,1,-62.5428,-211.881,1323.85,0.0651082,0.889735,0.046768,w,w
15795,HAPPY,15795,0.73328,1,-63.3552,-209.844,1314.22,0.100575,0.903784,0.0169766,w,w
15797,HAPPY,15797,0.794016,1,-66.2234,-213.698,1331.18,0.132725,0.888285,0.00154543,w,w
15798,HAPPY,15798,0.822329,1,-66.7121,-217.576,1347.05,0.131539,0.87384,0.0131558,w,w
15799,HAPPY,15799,0.810292,1,-66.0325,-218.636,1350.03,0.11681,0.861416,0.0324579,w,w
15800,HAPPY,15800,0.807303,1,-65.0043,-217.95,1346.7,0.0889534,0.854888,0.0558256,w,w
15801,HAPPY,15801,0.836446,1,-65.2295,-219.973,1355.01,0.0644853,0.853948,0.081251,w,w
15802,HAPPY,15802,0.769367,1,-63.6351,-222.511,1368.14,0.126643,0.854912,0.0380832,w,w
15803,HAPPY,15803,0.746074,1,-62.6826,-222.592,1364.32,0.158352,0.877361,0.0244787,w,w
15806,HAPPY,15806,0.733997,1,-70.2227,-242.178,1453.8,0.145507,0.911479,0.0657826,w,w
15807,HAPPY,15807,0.72501,1,-71.4706,-240.719,1443.18,0.145002,0.937712,0.0696857,w,w
15810,HAPPY,15810,0.75132,1,-67.8183,-235.209,1417.65,0.264608,0.955469,-0.0167399,w,w
15811,HAPPY,15811,0.733917,1,-66.7386,-236.029,1422.68,0.232,0.95367,0.00957043,w,w
15812,HAPPY,15812,0.737344,1,-65.7502,-237.6,1439.37,0.199755,0.945844,0.0424498,w,w
15813,HAPPY,15813,0.734461,1,-64.0845,-237.86,1448.99,0.1707,0.945083,0.071365,w,w
15814,HAPPY,15814,0.745584,1,-62.0847,-238.465,1454.32,0.156396,0.943418,0.0826302,w,w
15815,HAPPY,15815,0.754807,1,-60.3417,-239.226,1455.01,0.158933,0.943434,0.084403,w,w
15816,HAPPY,15816,0.771629,1,-58.9777,-239.552,1447.89,0.161367,0.95322,0.0829425,w,w
15817,HAPPY,15817,0.773392,1,-58.6271,-240.791,1445.73,0.153135,0.974136,0.0788181,w,w
15818,HAPPY,15818,0.782374,1,-58.6801,-240.524,1437.01,0.134876,1.00103,0.0767719,w,w
15819,HAPPY,15819,0.795636,1,-58.3081,-238.483,1420.63,0.12184,1.03076,0.0713762,w,w
26731,HAPPY,26731,0.984893,1,-155.925,-215.513,1430.61,0.000283278,-0.214378,-0.108506,w,w
26732,HAPPY,26732,0.988651,1,-157.093,-215.166,1426.19,0.0121451,-0.175589,-0.0932473,w,w
26733,HAPPY,26733,0.988165,1,-155.917,-214.156,1427.54,0.033056,-0.183184,-0.0834458,w,w
26734,HAPPY,26734,0.988733,1,-152.797,-208.899,1423.46,0.0937744,-0.210793,-0.0756686,w,w
26735,HAPPY,26735,0.988912,1,-149.923,-202.943,1424.77,0.154745,-0.241164,-0.0721077,w,w
26736,HAPPY,26736,0.98977,1,-147.222,-198.079,1426.7,0.196541,-0.268325,-0.0755986,w,w
